Everybody,Logic
Conscience,Kodak Black Featuring Future
Body Like A Back Road,Sam Hunt
Side To Side,Ariana Grande Featuring Nicki Minaj
Dirt On My Boots,Jon Pardi
Paris,The Chainsmokers
First Day Out,Tee Grizzley
Get It Together,Drake Featuring Jorja Smith & Black Coffee
Deja Vu,J. Cole
Swang,Rae Sremmurd
Can't Stop The Feeling!,Justin Timberlake
X,21 Savage & Metro Boomin Featuring Future
Castle On The Hill,Ed Sheeran
Today,Brad Paisley
Call Casting,Migos
I Don't,Mariah Carey Featuring YG
Fresh Eyes,Andy Grammer
That's What I Like,Bruno Mars
No Heart,21 Savage & Metro Boomin
The Weekend,Brantley Gilbert
It Ain't Me,Kygo & Selena Gomez
Gyalchester,Drake
Broccoli,D.R.A.M. Featuring Lil Yachty
Glow,Drake Featuring Kanye West
Mercy,Shawn Mendes
Drowning,A Boogie Wit da Hoodie Featuring Kodak Black
No Favors,Big Sean Featuring Eminem
I Don't Wanna Live Forever,Zayn & Taylor Swift
Rolex,Ayo & Teo
Run Up,Major Lazer Featuring PARTYNEXTDOOR & Nicki Minaj
Kill A Word,Eric Church Featuring Rhiannon Giddens
Look At Me!,XXXTENTACION
Love,Lana Del Rey
Nothings Into Somethings,Drake
Scars To Your Beautiful,Alessia Cara
Shape Of You,Ed Sheeran
I'm Better,Missy Elliott Featuring Lamb
Dirty Laundry,Carrie Underwood
Speak To A Girl,Tim McGraw & Faith Hill
Jorja Interlude,Drake
Juju On That Beat (TZ Anthem),Zay Hilfigerrr
Rent Money,Future
Lose You,Drake
I Got You,Bebe Rexha
Not Nice,PARTYNEXTDOOR
Draco,Future
How Not To,Dan + Shay
Chained To The Rhythm,Katy Perry Featuring Skip Marley
Let Me Love You,DJ Snake Featuring Justin Bieber
Fast,Luke Bryan
Star Of The Show,Thomas Rhett
Cheap Thrills,Sia Featuring Sean Paul
Love On The Brain,Rihanna
Location,Khalid
Losin Control,Russ
Caroline,Aminé
Tin Man,Miranda Lambert
This Town,Niall Horan
Good Drank,2 Chainz x Gucci Mane x Quavo
Trap Trap Trap,Rick Ross Featuring Young Thug & Wale
Get Right Witcha,Migos
Owe Me,Big Sean
Goosebumps,Travis Scott
Changed It,Nicki Minaj & Lil Wayne
How Would You Feel (Paean),Ed Sheeran
Alone,Marshmello
Used To This,Future Featuring Drake
Heatstroke,"Calvin Harris Featuring Young Thug, Pharrell Williams & Ariana Grande"
Hearts Don't Break Around Here,Ed Sheeran
Regret In Your Tears,Nicki Minaj
Better Man,Little Big Town
No Long Talk,Drake Featuring Giggs
The Heart Part 4,Kendrick Lamar
Light,Big Sean Featuring Jeremih
Zoom,Future
Sacrifices,Drake Featuring 2 Chainz & Young Thug
Slippery,Migos Featuring Gucci Mane
Barcelona,Ed Sheeran
Redbone,Childish Gambino
Water Under The Bridge,Adele
Way Down We Go,Kaleo
You Look Good,Lady Antebellum
Something Just Like This,The Chainsmokers & Coldplay
Heathens,twenty one pilots
4422,Drake Featuring Sampha
The Fighter,Keith Urban Featuring Carrie Underwood
Super Trapper,Future
Some Kind Of Drug,G-Eazy Featuring Marc E. Bassy
Love Me Now,John Legend
Scared To Be Lonely,Martin Garrix
Despacito,Luis Fonsi Featuring Daddy Yankee
New Man,Ed Sheeran
Bad And Boujee,Migos Featuring Lil Uzi Vert
Blem,Drake
What Do I Know?,Ed Sheeran
Helium,Sia
Everyday,Ariana Grande Featuring Future
Kelly Price,Migos Featuring Travis Scott
Closer,The Chainsmokers Featuring Halsey
Don't Let Me Down,The Chainsmokers Featuring Daya
Heroe Favorito,Romeo Santos
Say You Won't Let Go,James Arthur
Swalla,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign
Seein' Red,Dustin Lynch
Green Light,Lorde
Humble.,Kendrick Lamar
Hometown Girl,Josh Turner
Bad Romance,Lady Gaga
In Case You Didn't Know,Brett Young
KMT,Drake Featuring Giggs
Black,Dierks Bentley
Blue Ain't Your Color,Keith Urban
A Guy With A Girl,Blake Shelton
Reminder,The Weeknd
Party Monster,The Weeknd
Sex With Me,Rihanna
Everything 1K,Kodak Black
Galway Girl,Ed Sheeran
Dive,Ed Sheeran
Bom Bidi Bom,Nick Jonas
El Amante,Nicky Jam
Stay,Zedd & Alessia Cara
Liability,Lorde
Prblms,6LACK
Yeah Boy,Kelsea Ballerini
XO TOUR Llif3,Lil Uzi Vert
Tunnel Vision,Kodak Black
Congratulations,Post Malone Featuring Quavo
No Frauds,Nicki Minaj, Drake & Lil Wayne
Think A Little Less,Michael Ray
Comin Out Strong,Future Featuring The Weeknd
Treat You Better,Shawn Mendes
Don't Wanna Know,Maroon 5 Featuring Kendrick Lamar
Do Not Disturb,Drake
T-Shirt,Migos
Slide,Calvin Harris Featuring Frank Ocean & Migos
Mask Off,Future
