Source (A),Source (B),Source (C),Source (D),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
American Oxygen,Rihanna," Breathe out, breathe in American oxygen, woah Every breath I breathe Chasin' this American Dream We sweat for a nickel and a dime Turn it into an empire, woah Breathe in this feeling American, American oxygen  American oxygen Breathe in this feeling American, American oxygen  Oh say, can you see - this is the American Dream Young girl, hustlin' on the other side of the ocean You can be anything at all in America, America I say if you can't see Just close your eyes and breathe  Breathe out, breathe in American oxygen, woah Every breath I breathe Chasin' this American Dream We sweat for a nickel and a dime Turn it into an empire, woah Breathe in this feeling American, American oxygen  American oxygen Breathe in, this feeling American, American oxygen American oxygen Breathe in, this feeling American, American oxygen  Oh say, can you see - this is the American Dream Young boy, hustlin', tryna get the wheels in motion But he can be anything at all in America, America I say if you can't see Just close your eyes and breathe  Breathe out, breathe in American oxygen, woah Every breath I breathe Chasin' this American Dream We sweat for a nickel and a dime Turn it into an empire, woah Breathe in this feeling American, American oxygen  This is the new America We are the new America This is the new America We are the new America  Breathe out, breathe in American oxygen, woah Every breath I breathe Chasin' this American Dream We sweat for a nickel and a dime Turn it into an empire, woah Breathe in this feeling American, American oxygen  American oxygen Breathe in, this feeling American, American oxygen American oxygen Breathe in, this feeling American, American oxygen  This is the new America We are the new America This is the new America We are the new America",y,311,83.70,77.02,45.08,25.77,311.00,26.05,75.88,43.41,15.43,7.07,1.93,2.57,2.25,0.32,0.00,8.36,8.04,10.29,5.47,0.64,2.89,0.64,11.58,3.22,0.00,0.00,0.00,1.93,0.00,0.00,0.00,0.00,0.00,0.00,7.07,0.00,0.00,0.32,0.64,7.72,2.89,0.00,0.64,1.61,1.93,1.93,6.11,1.93,1.29,2.89,10.61,10.61,0.00,0.00,0.00,2.89,2.57,0.00,0.00,0.32,0.00,0.00,10.29,0.00,14.47,1.61,9.65,3.22,0.00,1.93,0.00,2.57,0.00,0.00,3.54,0.00,0.32,0.00,0.64,2.57,13.50,0.00,10.29,0.00,0.00,0.00,0.00,0.64,0.00,2.57,0.00,0.00
Birthday Cake,Rihanna," Come and put your name on it Put your name on it Come and put your name on it Your name Bet you wanna put your name on it Put your name on it Come and put your name on it Baby-baby, uh  It's not even my birthday But he wanna lick the icing off I know you want it in the worst way Can't wait to blow my candles out  He want that cake-cake-cake-cake-cake Cake-cake-cake-cake-cake Cake-cake-cake-cake-cake  Ooh baby, I like it You so excited Don't try to hide it I'ma make you my bitch Cake-cake-cake-cake-cake Cake-cake-cake-cake-cake Cake-cake-cake-cake-cake  I know you wanna bite this It's so enticing Nothing else like this I'ma make you my bitch  And it's not even my birthday  But it's not even my birthday   Leggo Girl, I wanna fuck you right now Been a long time, I've been missing your body Let me-let me turn the lights down When I-when I go down, it's a private party  Ooh it's not even her birthday But I wanna lick the icing off Give it to her in the worst way Can't wait to blow her candles out  I want that cake-cake-cake-cake-cake Cake-cake-cake-cake-cake Cake-cake-cake-cake-cake  Ooh baby I like it You so excited Don't try to hide it I'ma make you my bitch Cake-cake-cake-cake-cake Cake-cake-cake-cake-cake Cake-cake-cake-cake-cake  Ooh baby I like it You so excited Don't try to hide it I'ma make you my bitch  Doggy want the kitty Give me a heart attack and throw it back Now watch me get it And you knew this but you the shit Damn girl, you pretty Blowing out your candles Let me make a couple wishes  Remember how you did it? Remember how you fit it? If you still wanna kiss it Come-come-come and get it Sweeter than a rice cake Cake worth sipping Kill it, tip it, cake, fill it  If you sexy and you know it And you ain't afraid to show it Put a candle on my ma'fuckin' back Baby, blow it Love the way you do when you do it like that Show up with the stacks Raining racks on my rack Wrap it up, wrap it up Boy, while I take this bow off Talk that talk Yeah I know I'm such a show off Daddy, make a wish Put this cake in your face And it's not even my birthday  Ooh it's not even her birthday But I wanna lick the icing off Give it to her in the worst way Can't wait to blow her candles out  I want that cake-cake-cake-cake-cake Cake-cake-cake-cake-cake Cake-cake-cake-cake-cake  Ooh baby I like it You so excited Don't try to hide it I'ma make you my bitch Cake-cake-cake-cake-cake Cake-cake-cake-cake-cake Cake-cake-cake-cake-cake Cake-cake-cake-cake-cake Cake-cake-cake-cake-cake Cake-cake-cake-cake-cake ",y,547,23.68,64.96,45.31,20.26,182.33,4.39,94.88,48.45,23.95,14.81,7.13,0.00,6.22,1.46,0.00,9.14,4.39,7.31,6.40,4.02,5.12,2.74,15.54,2.19,1.28,0.91,0.00,0.18,5.48,2.56,2.93,0.18,2.01,0.18,12.61,1.65,0.00,1.65,0.73,10.24,1.28,1.65,2.93,1.46,0.18,3.47,2.56,1.83,0.00,0.00,21.76,0.73,0.00,0.55,20.29,5.12,0.55,0.73,1.10,1.46,1.28,1.10,13.35,1.65,12.80,3.11,6.58,3.47,0.00,0.18,0.00,0.37,0.00,0.18,3.29,1.65,0.00,0.18,0.18,0.00,23.58,0.00,2.38,0.00,0.00,0.37,0.00,16.27,0.00,4.57,0.00,0.00
Bitch Better Have My Money,Rihanna," Yayo, yayo Mula-la Yayo  Bitch better have my money Y'all should know me well enough Bitch better have my money Please don't call me on my bluff Pay me what you owe me Ballin' bigger than LeBron Bitch, give me your money Who y'all think y'all frontin' on? Like bra, bra, bra  Louis XIII, and it's all on me, nigga, you just bought a shot Kamikaze, if you think that you gon' knock me off the top Shit, your wife in the backseat of my brand new foreign car Don't act like you forgot I call the shots, shots, shots Like bra, bra, bra Pay me what you owe me, don't act like you forgot  Bitch better have my money Bitch better have my money Pay me what you owe me Bitch better have my  Bitch better have my  Bitch better have my money  Turn up to Rihanna while the whole club fuckin' wasted Every time I drop, I am the only thing y'all playin' In a drop top, doin' hundred, y'all in my rearview mirror racin' Where y'all at? Where y'all at? Where y'all at? Like bra, bra, bra  Louis XIII, and it's all on me, nigga, you just bought a shot Kamikaze, if you think that you gon' knock me off the top Shit, your wife in the backseat of my brand new foreign car Don't act like you forgot I call the shots, shots, shots Like bra, bra, bra Pay me what you owe me, don't act like you forgot  Bitch better have my money Bitch better have my money Pay me what you owe me Bitch better have my  Bitch better have my  Bitch better have my money Bitch better have my money Bitch better have my money Pay me what you owe me Bitch better have my  Bitch better have my  Bitch better have my money  Bitch better have my money Bitch better have my money Bitch, bitch, bitch better have my money Yo, that bitch better have my money Hold up My money Yo, my money That bitch better have my money Bitch better have my money ",y,354,26.29,19.85,75.51,21.43,70.80,2.82,85.03,48.87,26.27,22.32,14.69,0.00,7.63,0.00,0.00,3.95,3.11,7.63,9.04,1.98,1.41,1.41,14.69,8.76,10.17,2.82,0.28,1.13,16.10,7.91,8.19,0.00,8.19,0.00,9.60,0.56,0.00,0.56,0.00,3.11,1.13,0.00,0.85,0.56,0.85,0.85,0.00,0.00,0.00,0.00,0.85,0.56,0.00,0.28,0.00,9.04,0.85,7.34,1.69,6.50,0.00,1.69,12.15,0.56,9.32,1.98,6.21,1.13,1.69,0.28,0.00,9.60,0.00,0.00,11.02,8.76,1.13,0.85,0.28,0.00,17.23,0.00,9.32,0.00,0.00,1.13,0.00,0.28,0.00,6.50,0.00,0.00
California King Bed,Rihanna,"Chest to chest Nose to nose Palm to palm We were always just that close Wrist to wrist Toe to toe Lips that felt just like the inside of a rose So, how come when I reach out my finger It feels like more than distance between us  In this California king bed We're ten thousand miles apart I've been California wishing on these stars For your heart for me My California king Eye to eye Cheek to cheek Side by side You were sleeping next to me Arm in arm Dusk to dawn With the curtains drawn And a little last night on these sheets So, how come when I reach out my fingers It seems like more than distance between us  In this California king bed We're ten thousand miles apart I've been California wishing on these stars For your heart for me My California king  Just when I felt like giving up on us You turned around and gave me one last touch That made everything feel better And even then my eyes got wetter So confused wanna ask you if you love me But I don't wanna seem so weak Maybe I've been California dreaming  In this California king bed We're ten thousand miles apart I've been California wishing on these stars For your heart for me My California king My California king In this California king bed We're ten thousand miles apart I've been California wishing on these stars For your heart for me My California king",y,252,48.48,69.71,90.78,32.59,252.00,12.70,90.08,52.78,21.83,15.87,9.52,3.17,3.17,0.00,0.00,5.95,1.59,17.46,5.95,5.95,5.95,0.40,15.48,3.57,3.97,1.98,3.57,0.79,1.98,1.19,0.79,0.40,0.00,0.00,11.90,0.00,0.00,0.00,3.57,10.71,2.38,1.19,2.78,1.98,0.79,3.17,5.16,1.19,0.00,3.17,10.71,9.92,0.40,0.00,0.00,8.73,3.57,0.40,4.37,0.79,0.00,5.16,6.75,2.78,16.67,1.19,11.90,3.57,0.00,0.40,1.98,0.00,0.00,0.00,0.79,0.00,0.00,0.00,0.00,0.00,4.76,0.00,0.79,0.00,0.00,0.00,0.00,0.00,0.00,3.97,0.00,0.00
Cheers (Drink To That),Rihanna,"  Cheers to the freaking weekend I drink to that, yeah yeah Oh let the Jameson sink in I drink to that, yeah yeah Don’t let the bastards get you down Turn it around with another round There’s a party at the bar everybody put your glasses up and I drink to that, I drink to that, I drink to that   Life’s too short to be sitting around miserable People gonna talk whether you doing bad or good, yeah Got a drink on my mind and my mind on my money, yeah Looking so bomb, gonna find me a honey Got my Ray-Bans on and I’m feeling hella cool tonight, yeah Everybody’s vibing so don’t nobody start a fight, yeah-ah-ah-ah   Cheers to the freaking weekend I drink to that, yeah yeah Oh let the Jameson sink in I drink to that, yeah yeah Don’t let the bastards get you down Turn it around with another round There’s a party at the bar everybody put your glasses up and I drink to that, I drink to that   ‘Bout to hop on the bar, put it all on my card tonight, yeah Might be mad in the morning but you know we goin hard tonight It’s getting Coyote Ugly up in here, no Tyra It’s only up from here, no downward spiral Got my Ray-Bans on and I’m feeling hella cool tonight, yeah Everybody’s vibing so don’t nobody start a fight, yeah   Cheers to the freaking weekend I drink to that, yeah yeah Oh let the Jameson sink in I drink to that, yeah yeah Don’t let the bastards get you down Turn it around with another round There’s a party at the bar everybody put your glasses up and I drink to that, I drink to that  Cheers to the freaking weekend I drink to that, yeah yeah Oh let the Jameson sink in I drink to that, yeah yeah Don’t let the bastards get you down Turn it around with another round There’s a party at the bar everybody put your glasses up and I drink to that, I drink to that   And I drink to that",y,361,64.67,35.92,77.26,14.33,361.00,11.91,92.52,56.23,20.78,10.53,7.48,0.28,2.77,0.00,0.00,10.25,7.20,16.62,7.20,4.43,3.88,2.77,14.68,2.49,0.00,0.28,0.00,1.39,6.93,3.05,3.88,0.28,2.22,0.28,7.20,0.00,0.28,0.00,0.00,4.16,1.11,0.00,0.00,0.55,1.94,0.83,3.05,1.39,0.00,2.49,6.65,0.00,0.00,0.00,6.65,6.93,1.39,0.00,2.77,2.49,0.28,0.83,8.03,1.94,16.07,3.60,9.42,3.05,0.00,8.86,0.00,0.28,0.00,0.00,12.19,2.77,1.11,7.76,1.94,0.00,13.02,0.00,6.65,0.00,0.00,0.00,0.00,1.39,0.28,4.71,0.00,0.00
Diamonds,Rihanna," We the cause of all the commotion Your mouth running, but where is you going? What is you smoking, man? That ain't potent What is you talking, man? That ain't important Illuminati, High society We in this party and nobody invited me We going crazy and I always use my best sense But it don't matter cause I stay on my fresh prince Maxin', relaxin, shootin' some pool and Playing some b-ball outside of the school and Girls with they top off outside of the pool and Whips with the drop off outside of the Louvre You just look stupid to be ignoring The Delorean parked in front of Armani emporium And parties at Richie is getting risky Victoria's Secret show, they miss me Voices in my head, I need choices in my bed AHHHHH, get out my fucking head It's just me and my bad bitch So you can say I'm on my Brad Pitt Back to the la familia I'm aligned with Before I betray them I slit my wrists At the top is just us nigga Cause I don't really trust niggas And we made it through the hurricane So celebrate and light the Mary Jane We gon' make it, that's on everything Truest girls get half naked, every spring They saying, ""Hey Kanye We need you to go deeper than Tay Zonday,"" Cause my verses got pain, Chocolate Rain So many lines, you photograph and it make arms break On the radio, man I miss myself I need to just step back and kiss myself Baby, just step up and kiss the belt A little lower.. that's what's up Somebody pour her another cup Is it too much to ask you keep your diamonds up? I swear until my time is up My style is sex in the shower, fresh as fuck  So shine bright tonight you and I We're beautiful like diamonds in the sky Eye to eye so alive We're beautiful like diamonds in the sky  Shine bright like a diamond Shine bright like a diamond Shining bright like a diamond We're beautiful like diamonds in the sky Shine bright like a diamond Shine bright like a diamond Shining bright like a diamond We're beautiful like diamonds in the sky  Palms rise to the universe As we moonshine and molly Feel the warmth we'll never die We're like diamonds in the sky You're a shooting star I see A vision of ecstasy When you hold me I'm alive We're like diamonds in the sky  I knew that we'd become one right away Oh right away At first sight I felt energy of sun rays I saw the life inside your eyes  So shine bright tonight you and I We're beautiful like diamonds in the sky Eye to eye so alive We're beautiful like diamonds in the sky  Shine bright like a diamond Shine bright like a diamond Shining bright like a diamond We're beautiful like diamonds in the sky Shine bright like a diamond Shine bright like a diamond Shining bright like a diamond We're beautiful like diamonds in the sky  Shine bright like a diamond Shine bright like a diamond Shine bright like a diamond So shine bright tonight you and I We're beautiful like diamonds in the sky Eye to eye so alive We're beautiful like diamonds in the sky Shine bright like a diamond",y,564,82.12,80.25,63.37,97.74,94.00,14.54,87.41,51.42,17.38,14.01,6.38,3.90,2.84,0.18,0.71,3.37,8.51,15.96,4.43,3.72,5.50,1.06,13.65,5.67,6.74,0.89,0.53,1.24,9.57,7.45,2.13,0.18,0.71,0.53,11.17,0.18,0.00,0.53,0.71,5.85,1.24,1.42,0.53,0.53,1.06,1.06,12.59,10.99,0.71,0.71,4.43,2.48,1.06,0.71,0.35,8.16,4.79,1.06,1.95,1.06,0.53,0.89,9.93,1.24,15.07,1.77,11.35,2.48,0.18,1.77,0.35,0.00,0.00,0.89,1.77,0.89,0.53,0.00,0.35,0.00,10.11,0.35,3.19,0.00,0.00,0.71,0.00,0.18,0.35,5.32,0.00,0.00
Disturbia,Rihanna,"] Bum bum be-dum, bum bum be-dum bum  Bum bum be-dum, bum bum be-dum bum  Bum bum be-dum, bum bum be-dum bum  Bum bum be-dum, bum bum be-dum bum  No more gas, in the red Can't even get it started Nothing heard, nothing said Can't even speak about it All my life on my head Don't want to think about it Feels like I'm going insane, yeah  It's a thief in the night To come and grab you It can creep up inside you And consume you A disease of the mind It can control you It's too close for comfort  Put on your brake lights You're in the city of wonder Ain't gon' play nice Watch out, you might just go under Better think twice Your train of thought will be altered So if you must falter, be wise Your mind's in Disturbia It's like the darkness is the light Disturbia, am I scaring you tonight?  Disturbia Ain't used to what you like Disturbia, disturbia  Bum bum be-dum, bum bum be-dum bum Bum bum be-dum, bum bum be-dum bum Bum bum be-dum, bum bum be-dum bum Bum bum be-dum, bum bum be-dum bum  Faded pictures on the wall It's like they talkin' to me Disconnected, no one calls The phone don't even ring I gotta get out Or figure this shit out It's too close for comfort, oh  It's a thief in the night To come and grab you It can creep up inside you And consume you A disease of the mind It can control you I feel like a monster  Put on your brake lights You're in the city of wonder Ain't gon' play nice Watch out, you might just go under Better think twice Your train of thought will be altered So if you must falter, be wise Your mind's in Disturbia It's like the darkness is the light Disturbia, am I scaring you tonight?  Disturbia Ain't used to what you like Disturbia, disturbia  Bum bum be-dum, bum bum be-dum bum Bum bum be-dum, bum bum be-dum bum Bum bum be-dum, bum bum be-dum bum Bum bum be-dum, bum bum be-dum bum  Release me from this curse I'm in I've been trying to remain tame But I'm struggling If you can't go, oh, oh I think I'm gonna oh, oh, oh  Put on your brake lights You're in the city of wonder Ain't gon' play nice Watch out, you might just go under Better think twice Your train of thought will be altered So if you must falter, be wise Your mind's in Disturbia It's like the darkness is the light Disturbia, am I scaring you tonight?  Disturbia Ain't used to what you like Disturbia, disturbia  Bum bum be-dum, bum bum be-dum bum Bum bum be-dum, bum bum be-dum bum Bum bum be-dum, bum bum be-dum bum Bum bum be-dum, bum bum be-dum bum",y,509,42.94,69.53,32.47,10.77,127.25,9.63,88.21,46.76,13.56,9.63,2.95,0.00,6.48,0.00,0.20,3.93,4.13,10.61,16.11,2.55,2.55,2.95,24.56,2.36,1.96,0.59,0.79,0.39,7.86,3.34,4.52,3.73,0.20,0.00,7.66,0.00,0.00,0.00,0.00,9.43,3.34,0.98,1.57,2.36,1.18,2.95,4.52,2.75,0.98,0.79,0.98,0.39,0.59,0.00,0.00,19.06,0.00,0.79,17.88,0.98,0.00,1.38,19.84,2.95,10.61,2.75,6.48,1.38,0.00,0.59,0.00,0.00,0.00,0.00,2.55,0.20,0.98,0.20,1.18,0.00,21.02,0.00,7.27,0.00,0.00,0.59,0.00,6.29,0.00,6.68,0.00,0.20
Don't Stop the Music,Rihanna," Please don't stop the music Please don't stop the music Please don't stop the music Please don't stop the music  It's gettin' late, I'm making my way over to my favorite place I gotta get my body moving, shake the stress away I wasn't looking for nobody when you looked my way Possible candidate, yeah Who knew that you'd be up in here lookin' like you do You're making stayin' over here impossible Baby, I'mma say your aura is incredible If you don't have to go, don't  Do you know what you started? I just came here to party But now we're rockin' on the dance floor, actin' naughty Your hands around my waist Just let the music play We're hand in hand, chest to chest, and now we're face to face  I wanna take you away Let's escape into the music—DJ, let it play I just can't refuse it Like the way you do this Keep on rockin' to it Please don't stop the Please don't stop the music I wanna take you away Let's escape into the music—DJ, let it play I just can't refuse it Like the way you do this Keep on rockin' to it Please don't stop the Please don't stop the Please don't stop the music  Baby, are you ready? ’Cause it's getting close Don't you feel the passion ready to explode? What goes on between us no one has to know This is a private show, oh  Do you know what you started? I just came here to party But now we're rockin' on the dance floor, actin' naughty Your hands around my waist Just let the music play We're hand in hand, chest to chest, and now we're face to face  I wanna take you away Let's escape into the music—DJ, let it play I just can't refuse it Like the way you do this Keep on rockin' to it Please don't stop the Please don't stop the music I wanna take you away Let's escape into the music—DJ, let it play I just can't refuse it Like the way you do this Keep on rockin' to it Please don't stop the Please don't stop the Please don't stop the music  Please don't stop the music Please don't stop the music Please don't stop the music  I wanna take you away Let's escape into the music—DJ, let it play I just can't refuse it Like the way you do this Keep on rockin' to it Please don't stop the Please don't stop the music I wanna take you away Let's escape into the music—DJ, let it play I just can't refuse it Like the way you do this Keep on rockin' to it Please don't stop the Please don't stop the Please don't stop the music  Please don't stop the music Please don't stop the music Please don't stop the music",y,485,36.42,68.22,72.21,99.00,97.00,3.09,96.70,58.35,19.59,12.78,4.74,2.68,5.36,0.00,0.00,6.80,9.07,11.34,12.99,4.33,1.24,7.63,20.82,1.24,1.44,1.03,0.21,0.00,8.45,8.04,0.41,0.41,0.00,0.00,11.13,0.41,0.00,0.00,0.00,5.36,1.03,0.62,1.65,0.41,0.00,2.06,8.45,0.62,6.39,1.44,3.71,3.51,0.00,0.21,0.00,13.40,3.51,0.00,1.86,1.65,6.39,1.44,18.35,1.65,18.35,2.89,8.66,6.80,0.00,8.66,0.00,0.00,0.00,0.00,1.86,0.00,0.21,0.21,0.21,0.00,18.56,0.00,3.92,0.00,0.00,0.82,0.00,0.00,0.00,13.81,0.00,0.00
FourFiveSeconds,Rihanna,"   I think I've had enough I might get a little drunk I say what's on my mind I might do a little time Cause all of my kindness Is taken for weakness  Now I'm FourFiveSeconds from wildin' And we got three more days 'til Friday I'm just tryna make it back home by Monday mornin' I swear I wish somebody would dare me Ooh, that's all I want  Woke up an optimist Sun was shinin', I'm positive We can run Then I heard you was talkin' trash I'm on a mystery Hold me back, I'm 'bout to spaz  Yeah, 'bout FourFiveSeconds from wildin' And we got three more days ‘til Friday I’m tryna make it back home by Monday mornin' I swear I wish somebody would try me Ooh, that’s all I want  And I know that you're up tonight Thinkin', ""How could I be so selfish?"" But you called 'bout a thousand times Wondering where I've been Now I know that you're up tonight Thinkin' ""How could I be so reckless?"" But I just can't apologize I hope you can understand  If I go to jail tonight Promise you'll pay my bail See they want to buy my pride But that just ain't up for sale See all of my kindness Is taken for weakness  Now I'm FourFiveSeconds from wildin' And we got three more days 'til Friday I'm just tryna make it back home by Monday mornin' I swear I wish somebody would tell me Ooh, that's all I want FourFiveSeconds from wildin' And we got three more days 'til Friday I'm just tryna make it back home by Monday mornin' I swear I wish somebody would tell me Cause that's all I want",y,289,5.77,24.44,84.10,58.50,96.33,9.34,87.54,53.29,25.26,19.72,15.57,1.73,2.08,0.00,0.35,5.54,1.73,7.96,14.88,6.23,5.19,0.69,25.61,1.73,1.38,1.38,3.11,3.46,2.42,2.08,0.35,0.00,0.00,0.00,7.61,0.00,0.00,0.00,0.00,19.03,1.73,2.77,5.88,5.19,2.77,2.08,1.73,1.04,0.69,0.00,0.35,0.00,0.00,0.00,0.35,7.96,1.73,0.69,2.42,3.11,0.00,4.50,19.72,4.15,13.49,0.69,4.84,9.69,0.35,0.35,1.38,1.04,0.00,0.00,1.73,0.00,1.38,0.35,0.00,0.00,18.34,0.00,2.42,0.00,0.00,0.69,0.00,0.00,1.73,13.49,0.00,0.00
Hate That I Love You,Rihanna," That's how much I love you  That's how much I need you  That's how much I love you That's how much I need you And I can't stand you Must everything you do make me wanna smile Can I not like you for awhile?   But you won't let me You upset me girl And then you kiss my lips All of a sudden I forget  Can't remember what you did  But I hate it... You know exactly what to do So that I can't stay mad at you For too long that's wrong  But I hate it... You know exactly how to touch So that I don't want to fuss and fight no more Said I despise that I adore you  And I hate how much I love you boy  I can't stand how much I need you  And I hate how much I love you boy  But I just can't let you go And I hate that I love you so   You completely know the power that you have The only one makes me laugh  Said it's not fair How you take advantage of the fact That I... Love you beyond the reason why And it just ain't right  And I hate how much I love you girl I can't stand how much I need you  And I hate how much I love you girl But I just can't let you go But I hate that I love you so  One of these days maybe your magic won't affect me And your kiss won't make me weak But no one in this world knows me the way you know me So you'll probably always have a spell on me... Yeah Oh oh oh Yeah yeah yeah That's how much I love you  How much I need you  That's how much I need you How much I love you That's how much I love you I need you That's how much I need you I need you  As much as I need you And I hate that I love you so And I hate how much I love you boy I can't stand how much I need you  And I hate how much I love you boy But I just can't let you go  And I hate that I love you so And I hate that I love you so so",y,391,1.00,73.03,69.39,49.58,65.17,2.05,98.21,65.98,36.06,28.90,16.37,0.00,12.53,0.00,0.00,7.16,1.79,3.84,7.16,10.74,14.32,4.60,17.65,2.05,1.02,6.14,0.77,5.63,11.00,6.14,4.86,0.26,4.09,0.00,19.69,0.00,0.00,0.77,1.02,19.44,1.79,6.91,3.58,0.51,2.05,5.12,1.02,0.00,0.77,0.26,4.86,0.26,0.26,0.00,0.00,6.14,4.86,0.26,0.51,0.51,0.26,1.02,16.62,1.53,4.35,1.02,2.30,1.28,0.00,0.00,0.00,0.00,0.00,0.00,2.05,0.00,0.00,1.02,0.77,0.00,9.72,3.07,0.00,0.00,0.00,0.26,0.00,0.00,0.00,6.39,0.00,0.00
