Source (A),Source (B),Source (C),Source (D),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
Cheap Thrills,Sia,"Come on, come on, turn the radio on It's Friday night and I won't be long Gotta do my hair, put my make up on It's Friday night and I won't be long 'Til I hit the dance floor Hit the dance floor I got all I need No, I ain't got cash I ain't got cash But I got you baby Baby, I don't need dollar bills to have fun tonight Baby, I don't need dollar bills to have fun tonight But I don't need no money As long as I can feel the beat I don't need no money As long as I keep dancing Come on, come on, turn the radio on It's Saturday and I won't be long Gotta paint my nails, put my high heels on It's Saturday and I won't be long 'Til I hit the dance floor Hit the dance floor I got all I need No, I ain't got cash I ain't got cash But I got you baby Baby, I don't need dollar bills to have fun tonight Baby, I don't need dollar bills to have fun tonight I don't need no money As long as I can feel the beat I don't need no money As long as I keep dancing I don't need no money As long as I can feel the beat I don't need no money As long as I keep dancing Oh, oh Baby, I don't need dollar bills to have fun tonight Baby, I don't need dollar bills to have fun tonight I don't need no money As long as I can feel the beat I don't need no money As long as I keep dancing La, la, la, la, la, la, la La, la, la, la, la, la, la La, la, la, la, la, la, la La, la, la, la, la, la",1,310,18.16,2.50,91.80,62.47,310.00,3.87,89.03,46.13,15.48,14.19,13.55,0.00,0.65,0.00,0.00,1.29,3.23,10.00,13.23,0.00,7.42,10.32,28.39,7.42,5.16,0.00,0.00,0.65,1.94,1.94,0.00,0.00,0.00,0.00,5.81,2.58,0.00,0.00,0.00,9.68,1.29,0.32,5.16,0.00,0.65,2.26,1.94,0.00,0.65,1.29,0.32,0.32,0.00,0.00,0.00,8.39,2.58,1.29,3.23,2.58,0.00,2.58,21.94,3.87,17.42,5.16,8.39,3.87,0.00,5.16,0.00,7.74,0.00,0.00,1.29,0.00,0.65,0.00,0.65,0.00,21.29,0.00,12.26,0.00,0.00,0.00,0.00,0.00,0.00,9.03,0.00,0.00
Today,Brad Paisley,"When I'm sitting in traffic some afternoon Or bored to death in some waiting room I'm gonna close my eyes and picture you Today You keep brushing that hair back out of your eyes It just keeps falling and so do I Well I'm feeling like the luckiest man alive Today I don't know about tomorrow But right now the whole world feels right And the memory of a day like today Could get you through the rest of your life I know it won't always be like this Life could change as quick as a kiss It's not over yet and I already miss Today I don't know about tomorrow But right now the whole world is right And the memory of a day like today Could get you through the rest of your life And as the seasons change and time goes bye When your hair is grey and so is mine I know for sure that you're gonna be Just as beautiful as you are to me Today Bring on tomorrow, I've got today Bring on tomorrow, I've got today Bring on tomorrow, right now the whole world is right Bring on tomorrow Because a memory of a day like today Could get you through the rest of your life",1,213,46.87,57.45,99.00,52.17,213.00,10.33,97.18,56.81,15.02,12.21,6.57,0.00,5.63,0.00,0.00,2.82,7.04,15.49,10.33,7.04,9.86,1.88,22.07,4.23,5.16,0.94,0.00,2.35,3.29,2.35,0.94,0.00,0.00,0.47,6.57,0.00,0.00,0.00,0.47,11.74,4.23,1.41,1.88,1.88,0.94,1.88,3.76,2.35,0.00,1.41,3.29,0.94,2.35,0.00,0.00,3.29,0.47,0.00,0.47,2.35,0.00,1.41,21.13,4.23,29.58,4.69,9.86,15.49,0.00,0.00,0.47,0.00,0.00,0.94,1.41,0.00,0.94,0.00,0.47,0.00,6.10,0.00,1.41,0.00,0.00,0.00,0.00,0.00,0.00,4.69,0.00,0.00
Happier,Ed Sheeran,"Walking down 29th and park I saw you in another's arm Only a month we've been apart You look happier Saw you walk inside a bar He said something to make you laugh I saw that both your smiles were twice as wide as ours Yeah, you look happier, you do Ain't nobody hurt you like I hurt you But ain't nobody love you like I do Promise that I will not take it personal, baby If you're moving on with someone new 'Cause baby you look happier, you do My friends told me one day I'll feel it too And until then I'll smile to hide the truth But I know I was happier with you Sat in the corner of the room Everything's reminding me of you Nursing an empty bottle and telling myself You're happier, aren't you? Oh, ain't nobody hurt you like I hurt you But ain't nobody need you like I do I know that there's others that deserve you But my darling, I am still in love with you But I guess you look happier, you do My friends told me one day I'll feel it too I could try to smile to hide the truth But I know I was happier with you Baby, you look happier, you do I know one day you'd fall for someone new But if he breaks your heart like lovers do Just know that I'll be waiting here for you",1,243,3.63,88.35,92.47,99.00,121.50,11.52,96.71,60.91,32.10,25.10,11.11,0.82,12.35,0.82,0.00,7.00,2.88,9.05,11.93,2.88,6.58,4.12,25.51,6.17,4.53,0.00,1.65,0.41,11.93,9.47,2.06,0.00,0.00,2.06,20.99,1.23,1.65,0.00,0.82,15.23,2.88,0.82,1.65,2.88,1.65,7.00,6.58,3.29,0.82,2.47,2.47,0.82,0.00,0.41,0.41,5.35,2.88,0.82,0.41,0.41,0.82,4.94,16.05,2.47,11.11,1.65,4.94,4.53,0.00,0.41,0.41,0.00,0.00,0.00,0.82,0.00,0.00,0.41,0.41,0.00,11.52,0.00,4.12,0.00,0.00,0.41,0.00,0.00,0.00,7.00,0.00,0.00
Everyday,Ariana Grande,"Anytime I'm alone, I can't help thinking about you All I want, all I need, all I see is just me and you He giving me that good shit That make me not quit, that good shit He giving me that good shit That make me not quit, that good shit Oh, he give it to me Everyday, everyday, everyday, every He give it to me Everyday, everyday, everyday, every Oh, he give it to me Everyday, everyday, everyday, every He give it to me Everyday, everyday, everyday, every Anytime, anywhere, baby boy, I can misbehave Breathe me in, breathe me out, feel me, I'm Running through your veins He giving me that good shit That make me not quit, that good shit He giving me that good shit That make me not quit, that good shit Oh, he give it to me Everyday, everyday, everyday, every He give it to me Everyday, everyday, everyday, every Oh, he give it to me Everyday, everyday, everyday, every He give it to me Everyday, everyday, everyday, every He make me go.... La, la, la, la, la, la, la, la La, la, la, la, la, la Everyday, every La, la, la, la, la, la, la, la La, la, la, la, la, la Everyday, every I put that work on you everyday When the night fall 'til the sun come up You done fell in love with a bad guy I don't compromise my passion You know what you do for me, I'm doing the same for you I don't be trippin' or makin' mistakes I made too many in my past I fight for the things you believe in I got your body and put it in drive, baby Like I got keys in We 'bout to take us a vacation I'm 'bout to put all this vintage lovin' on you Baby, like it was the late 80s When you ride on me, baby, rotate it He giving me that good shit That make me not quit, that good shit Oh, he give it to me Everyday, everyday, everyday, every He give it to me Everyday, everyday, everyday, every Oh, he give it to me Everyday, everyday, everyday, every He give it to me Everyday, everyday, everyday, every He make me go.... La, la, la, la, la, la, la, la La, la, la, la, la, la Everyday, every La, la, la, la, la, la, la, la La, la, la, la, la, la Everyday, every ] Give it to me, to me Oh, he give it to me every day",1,426,14.28,50.00,82.15,38.27,142.00,13.38,84.27,53.52,38.03,19.95,11.97,0.47,2.82,4.69,0.00,18.08,1.64,8.45,3.05,1.41,1.17,1.88,14.55,0.70,0.70,0.70,0.00,5.16,7.28,3.99,3.29,0.00,2.58,0.23,14.55,0.94,0.23,0.00,5.16,20.42,0.94,1.88,0.70,0.94,14.55,1.64,0.47,0.23,0.00,0.23,3.76,3.29,0.00,0.23,0.00,6.10,1.17,1.41,0.47,3.05,0.23,1.64,10.09,0.00,17.37,2.82,2.82,11.74,0.23,0.47,0.00,0.00,0.00,0.00,3.99,2.35,0.00,0.00,1.64,0.00,32.16,1.88,27.00,0.00,0.00,0.00,0.00,0.00,0.00,3.05,0.00,0.23
Prblms,6LACK,"Yeah, yeah Yeah, yeah Yeah, yeah Alright And she said ""You a god-damn lie"" I ain't mean to say that shit girl I was god-damn high So we left the crib now we in the god-damn ride She lookin' god-damn fine I wanted a bitch who was down to Earth But she want the god-damn sky, uh List of my problems Got this one on my line that won't stop fucking callin' It's crazy I made her that way Every time I see her out, I see the hate in her face Like why you do that? Tell her you love her when next week you just want your space Why you do, why you do that? Tell her you want her but next week you do your own thing Why you do, why you do that? I can't explain it but just know it working for me She text me ""I hate you, I hate you, I hate you, I hate you"" But how the fuck can you hate me? When I ain't did shit, but be the real thang She know I'm the real, that'll never change I never been the one to try to explain While you catch them feels I'mma sip on this drank, it's easing my brain I got real shit to stress about, girl, I ain't worried 'bout shit Remember that I tried to build ya, now I ain't worried 'bout shit I got real shit to stress about, girl, I ain't worried 'bout shit Remember that I tried to build ya, now I ain't worried 'bout shit So I found me a new thang, I'm not as lost as you think Got plenty queens in my hometown, all they need is drank and that dank So I found me a new thang, I'm not as lost as you think Got plenty queens in my hometown, all they need is drank and that dank Now I'm like It's a goddamn shame We done crashed, we done burned But baby you the god-damn blame See I wanted love but you wanted god-damn fame Every god-damn thang I wanted a bitch who was on the move But you want to god-damn lay Uh, list of my problems Got this one in my bed and she just wants to sleep Fucking up all of the sheets She only wake up to eat Do this shit every week Like, why you do that? Crying you want to be great, but sleepin' until the next day Why you do that? Don't got that much in the bank, we go out she order the steak Why you do, why you do that? She can't explain it but just know it working for her She claiming she down on her luck but really she don't give a fuck And I cannot make this shit up And I ain't did shit but be the real thang She know I'm the real, that'll never change I won't be the one to try to explain While you catch them feels I'mma sip on this drank, it's easing the pain I got real shit to stress about, girl, I ain't worried 'bout shit Remember that I tried to build ya, now I ain't worried 'bout shit I got real shit to stress about, girl, I ain't worried 'bout shit Remember that I tried to build ya, now I ain't worried 'bout shit So I found me a new thang, I'm not as lost as you think Got plenty queens in my hometown, all they need is drank and that dank So I found me a new thang, I'm not as lost as you think Got plenty queens in my hometown, all they need is drank and that dank",1,632,11.24,38.78,55.53,1.00,79.00,4.91,92.56,56.33,26.27,20.41,9.65,0.79,5.54,3.48,0.95,5.85,4.27,9.34,9.02,5.70,6.17,3.96,23.42,5.38,1.74,2.22,0.63,2.06,11.08,1.27,9.81,2.06,6.33,0.79,14.56,0.16,0.00,4.91,0.00,15.51,3.64,2.22,2.53,0.47,1.74,4.91,1.42,0.47,0.32,0.63,5.54,3.32,0.16,0.63,1.11,9.02,1.11,1.90,3.48,2.06,0.47,7.59,15.82,1.11,9.65,1.11,4.11,4.27,0.47,0.00,0.16,0.16,1.42,0.00,7.91,5.22,1.27,1.11,0.32,0.00,16.46,0.00,6.49,0.00,0.00,1.11,0.00,1.42,0.63,6.80,0.00,0.00
Cash Jeans,DJ Lucci,"You know Lucci on some other shit I Got Cash in these skinny jeans Lil' bitch, you ain't a friend of me Moon-walking on my haters like I'm Billy Jeans I got cash in these skinny jeans Eyy, I pull up and Lucci got the other rock How you got a attitude and you are just a 5 My girl a apple , you a dell That's why I'm only sayin hello from the other side You know me, I'm the motherfuking shit Shoot your tongue out your mouth, watch me hit a fucking lick Next up, zero in my muhfucking wrist Your girl round me, I'm ramming in this bitch Pull like I'm postal yeah, Confused where we throw 'em at rover at, my niggas gon crack it back I never told them that and we cannot hold 'em back Blam, to the back of the bus where they want Rosa parks at I know you see me, you sending shot - I ignore that I'm flexing in this bitch and your girlfriend adore that You tryna play this game and get your girlfriend took You can have her if you can get the bish to look I ain't tripping lil' nigga I Got Cash in these skinny jeans Lil' bitch, you ain't a friend of me Moon-walking on my haters like I'm Billy Jeans I got cash in these skinny jeans I pull out the car with the cash in these jeans Young, hot nigga, I'm like hundred degrees Got rid of the Bentley 'cus I wasn't really feeling it I'ma buy a Ghost or a BM for Halloween I ain't seen my backyard ever since I bought the place I want to shop, these clothes, I just contact your palce Got paid for 30k, I don't care bout the check I just want my front cleared, that's my damn parking space I'm driving on the road like a ass-hole I'm from here, I don't need no map hoe My car black on black tho, so black it should have a name in a Afro Holla at your muhfucking boy when you see him Black white, ying yang , Twins BM BM And she know, when I call, it's for the check Collect, when I call, it's to collect, yeah I Got Cash in these skinny jeans Lil' bitch, you ain't a friend of me Moon-walking on my haters like I'm Billy Jeans I got cash in these skinny jeans",0,414,35.76,30.60,92.09,1.83,414.00,6.76,85.51,53.62,24.88,19.08,12.32,0.48,5.07,0.72,0.48,5.80,6.52,11.35,7.73,4.83,3.38,2.66,17.15,2.90,1.45,1.69,0.72,0.24,4.35,0.72,3.62,0.24,3.14,0.00,10.87,0.00,1.45,0.97,0.48,7.49,1.21,0.72,1.45,1.21,0.48,3.14,3.62,2.66,0.00,0.72,1.93,1.69,0.00,0.24,0.00,8.45,2.17,0.00,3.14,3.14,0.00,3.86,11.35,0.24,14.98,3.14,9.90,2.66,0.00,0.97,0.24,2.66,0.00,0.24,7.00,3.38,2.42,0.48,0.00,0.00,15.46,0.00,6.76,0.00,0.00,0.00,0.00,1.21,0.00,7.49,0.00,0.00
Views,Drake,"Question is, will I ever leave you? The answer is no, no, no-no-no, no, no No, no-no-no, no, no No, no, no, no Question is, will I ever leave you? The answer is no, no, no-no-no, no, no No, no-no-no, no, no No, no, no, no Yeah, you feel the pressure, man, I know the pressure And my wifey is a spice like I'm David Beckham A lot of pent up aggression comin' out of my section OVO on me while y'all niggas was playin' dress-up And I know who gon' take the fall with me They right here on call with me, they all with me You could throw curve balls but I got the glove fitted They've been sayin' it's love, but it isn't love, is it? Toast to the days when they wasn't out to get me I worked at Jaydees Connections whenever Jason let me Ceesay�s, I was buyin' fitteds everyday Kiddie's Caribana, tryin' not to catch a stray I dropped out right before I graduate Six credits left, my mama had her saddest day ""It's only up from here, I promise, you just gotta wait"" And she took my word for it, that's all I had to say Lately I just feel so out of character The paranoia can start to turn into arrogance Thoughts too deep to go work 'em out with a therapist I get a blank page when I try to draw a comparison I'm gettin' straight to the point with it Need y'all to know that I never needed none of y'all niggas Fuck bein' all buddy buddy with the opposition It's like the front of the plane, nigga, it's all business But I haven't flown with y'all boys in a minute Look, they'd rather run up on me than towards their goals My niggas still hit the club when it's 20 below Who you think runnin' this show? You saw it in me at 20 years old The lingo start to sound like we talkin' in code I got a pure soul, I don't do the hate You don't worry 'bout fittin' in when you custom made Me and Niko used to plot on how to make a change Now me and Kobe doin' shots the night before the game Still drop 40 with liquor in my system Numbers goin' unlisted just to create some distance I might see you on and off but I'll never switch ya Niggas quick to double cross like both of us Christian Lamborghini got me feelin' like I'm Christian Bale And I never bend my morals for the ticket sales Tippin' scales, bars heavy like triple XL I never tag no one in, I'd rather get you myself Runnin' through the 6, thumbin' through the contracts I'm possessed, you can see it under the contacts They think I had the silver spoon but they'll get it soon I still got somethin' left to prove since you left me room Paint a plan for the family debt, we in the minus And like it's goin' in a trunk, I put it all behind us Where you tryna go? I got it, I'll take us wherever I'm a staple in the game, all my papers together And my life is on display like Truman They wanna pree the movements, gotta start to make 'em sooner My exes made some of my favorite music I dated women from my favorite movies Karma's such a thing of beauty I'd share more of my story but you wouldn't believe it It's farfetched like I threw that shit a hundred meters I keep it a hundred like I'm running a fever I might take a breather but I won't ever leave you If I was you, I wouldn't like me either",0,640,35.70,20.39,93.63,25.77,106.67,9.06,88.75,59.84,20.78,16.72,10.78,0.78,3.44,0.31,1.41,4.06,6.72,13.59,8.44,5.00,4.06,7.66,17.66,2.03,2.81,1.56,1.41,2.50,3.12,1.56,1.56,0.62,0.62,0.16,9.53,0.47,0.47,0.78,0.62,10.62,2.19,1.41,1.41,1.56,2.66,2.50,2.34,1.09,0.47,0.62,1.56,0.31,0.47,0.16,0.31,6.56,2.50,0.94,1.09,2.19,0.00,4.06,11.09,2.34,16.41,2.81,7.97,5.62,1.25,1.56,0.31,0.78,0.62,0.00,2.50,1.09,1.09,0.16,0.00,0.00,19.22,0.00,7.50,0.00,0.00,0.78,0.00,1.41,0.31,9.22,0.00,0.00
Cold,Maroon 5,"Cold enough to chill my bones It feels like I don't know you anymore I don't understand why you're so cold to me With every breath you breathe I see there's something going on I don't understand why you're so cold Are we taking time, or a time out? I can't take the in-between Asking me for space here in my house You know how to fuck with me Acting like we're not together After everything that we've been through Sleeping up under the covers How am I so far away from you? Distant, when we're kissing Feel so different Baby, tell me how did you get so Cold enough to chill my bones It feels like I don't know you anymore I don't understand why you're so cold to me With every breath you breathe I see there's something going on I don't understand why you're so cold, yeah Whoa, yeah Whoa, yeah I don't understand why you're so cold What you holdin' on, holdin' on for? If you wanna leave, just leave Why you wanna bite your tongue for? The silence is killing me Acting like we're not together If you don't want this, then what's the use? Sleeping up under the covers How am I so far away from you? Distant, when we're kissing Feel so different Baby tell me how did you get so Cold enough to chill my bones It feels like I don't know you anymore I don't understand why you're so cold to me With every breath you breathe I see there's something going on I don't understand why you're so cold, yeah Whoa, yeah Whoa, yeah I don't understand why you're so cold, yeah So cold, it�s a cold world Whoa, yeah So cold, it�s a cold world Whoa, yeah So cold, it�s a cold world I don't understand why you're so cold Never thought that you were like this I took the tag off, and made you priceless I just spent half a mill' on a chandelier Now you tryna' cut me off like a light switch, yeah Tryna' stay, and I leave Saying that you need some time to breathe Thinking that I'm sleeping on the four letter word But the four letter word don't sleep We goin' two separate ways You ain't been actin' the same You gotta go, but where your heart used to be You gold dig every day I switched the four door to the two door 'Cause I can't let my driver hear what you say Girl, I tried to give you space Baby, tell me how did you get so Cold enough to chill my bones It feels like I don't know you anymore I don't understand why you're so cold to me With every breath you breathe I see there's something going on I don't understand why you're so cold So cold, it�s a cold world Whoa, yeah So cold, it�s a cold world Whoa, yeah So cold, it�s a cold world I don't understand why you're so cold, yeah So cold, it�s a cold world Whoa, yeah So cold, it�s a cold world Whoa, yeah So cold, it�s a cold world I don't understand why you're so cold",0,537,3.46,69.91,83.38,22.88,76.71,8.94,94.79,58.47,23.84,18.06,8.94,1.30,7.82,0.00,0.00,5.77,4.47,9.87,12.10,11.36,8.38,4.66,24.21,8.19,2.23,4.84,1.12,1.12,0.93,0.37,0.56,0.00,0.37,0.00,12.29,0.56,0.00,0.19,0.00,15.08,4.84,4.47,1.12,1.86,1.30,2.42,9.50,0.93,0.74,7.64,3.72,3.54,0.00,0.19,0.00,4.10,2.05,0.19,0.74,1.12,0.00,2.23,20.30,1.49,11.73,1.68,7.64,2.61,0.00,0.00,0.56,0.37,0.00,0.19,5.77,0.19,0.56,2.79,0.00,1.86,19.74,0.00,6.70,0.00,0.00,1.12,0.00,0.19,0.00,11.73,0.00,0.00
KAE,Chris Brown,"Every time, every time you tell me you gon' change You're never right, it's probably best we go our separate ways If you look in my eyes, you gotta know it's true Told me a million lies but I still tried to make due Baby, I gave the time and always more Baby, you got what you want and now I'm paying for it Oh, you're supposed to love, with a love that's official Talking all that shit, it don't mean fuck around and go missing, oh And don't try to make up cause I'm fine Cause you're a stranger in my eyes Stranger in my eyes You're a stranger in my I'mma be okay, my path is gonna get clearer Live in the moment, keeping you in my back mirror What you gonna do when nobody's at home? Yeah Shoulda thought of that when you turned so cold babe Oh, you're supposed to love, with a love that's official Talking all that shit, it don't mean fuck around and go missing, oh And don't try to make up cause I'm fine Cause you're a stranger in my eyes Stranger in my eyes You're a stranger in my I guess we were meant to fall, fall right out of love And I can't even say that you were there for me, girl We were meant to fall, fall right out of love And I can't even say that you were there for me, yeah yeah, girl you Oh, you're supposed to love, with a love that's official Talking all that shit, it don't mean fuck around and go missing, oh And don't try to make up cause I'm fine Cause you're a stranger in my eyes Stranger in my eyes You're a stranger in my Stranger in my You're a stranger in my, oh oh Stranger in my",0,308,25.90,80.06,92.27,49.97,154.00,10.39,94.16,54.22,23.70,17.86,9.09,1.30,7.47,0.00,0.00,5.84,4.22,13.64,10.71,4.87,4.87,3.25,28.25,3.25,0.65,1.30,0.32,1.95,7.79,4.55,3.25,0.00,2.27,0.97,15.58,0.65,0.32,0.65,0.00,12.99,2.27,3.57,0.65,2.92,2.60,1.62,3.57,2.60,0.65,0.32,7.14,3.25,0.32,0.97,0.00,8.12,3.90,1.62,2.27,0.97,0.00,4.55,18.83,1.62,17.21,4.22,9.42,3.90,0.32,0.00,0.32,0.32,0.00,0.00,7.14,1.95,1.30,1.30,2.60,0.00,18.51,0.00,8.12,0.00,0.00,0.32,0.00,0.00,0.00,10.06,0.00,0.00
Zoom,Future,"Bought a drop top Porsche, about to cut the top off Trappin' is a sport young nigga get ya knocked off Hol' up Turbo switchin' lanes, Hublot switch your watch Trappin' switch the spots, when you're runnin' hot Feet on the gas trappin� dem bags Run up a sack and never look back Shorty got miles on her, I�m about to spaz in it I ran it up fast I ran it up fast I ran it up fast I ran it up fast I ran it up fast I ran it up fast I secure the bag first, I'm ready to boast I secure the bag first, I'm full of that dope Court side with a mink, Pee Wee Kirkland in the sink Five karats, one link, both hands full of ink Money drying in your hand, wrap the bale in Saran My yellow bitch want a tan, I just landed from Japan Tokyo and Korea, Panamera to the Lear Yellow metal with the gold, fishscale with these hoes Mossberg, I�m drinkin� mud, put a hit out on a dud Bought my lil� nigga 12 slugs just to shine bright when he mug I just bailed out ol' Buice, 20 pills goin� hyphy Oh you lookin� real icy, boy you know you nothin� like me Turbo switchin' lanes, Hublot switch your watch Trappin' switch the spots, when you're runnin' hot Feet on the gas trappin� dem bags Run up a sack and never look back Shorty got miles on her, I�m about to spaz in it I ran it up fast I ran it up fast I ran it up fast I ran it up fast I ran it up fast I ran it up fast I gave her the raw lean They sound like my offsprings Nitro gasoline Bought some more money machines Bring out a brand new machine I bought a whole lot of bling Treat me like Weezy and Baby Treat me like Mannie and Turky I was the Juve with work on me I had to cop it and purchase I put more ice in the Date today Rockin� these Prezzies and Cartier I got it in flooded and plain Jane I made my young niggas insane Crunchin� them Xans up and then drink Get you a Draco and then crank it Saudi Arabian, Ben Franklin Leave it to me, they would�ve been stained �em Saditty in back, we done got acquainted You see the dash? They gotta see me I ran it up fast, they can�t see me I wasn't surfin' with you I buy them Birkins for you I go to surgery with you Turbo switchin' lanes, Hublot switch your watch Trappin' switch the spots, when you're runnin' hot Feet on the gas trappin� dem bags Run up a sack and never look back Shorty got miles on her, I�m about to spaz in it I ran it up fast I ran it up fast I ran it up fast I ran it up fast I ran it up fast I ran it up fast Hahahahah, ahhh, shit! Got it all back, baby God damn, welcome to Cap City Records internet podcast, baby Where we make dreams come true The first five callers that call in right now, man We gone have you the rapper starter kit Oh my god! It comes with the Cap City contract Which is a 12 album, nine year deal We gone take some calls; the boards lightin' up right now Look, take a call, caller? Yeah, that deal; we need that! Yeah, we need that Yeah, we need that shit, dat way! nigga, yeah! This way, nigga! Yeah! We need that deal, nigga What? What you say, young man? I keep it on me! Hold on, fella! I'm sayin'; I can't hear you Is there a shoot out? What's goin' on, young fella? Lil' Draco in this bitch! Lil' Extendo in this bitch! yeah yeah Yeah You just won a Cap City Records contract, man Listen here, baby Lil' Draco! Lil' Extendo! Congratulations, baby; y'all won Yeah, nigga, yeah Cap City man what's up Six months, man we got that shit 12 albums, man we got that shit Yeah nigga, yeah I'm finna shoot everything up Bow bow bow bow bow Yeah nigga, yeah what's up nigga We need that!",1,723,69.36,59.29,91.00,30.44,36.15,6.78,78.01,44.40,20.75,13.69,7.75,1.52,2.90,0.69,0.83,7.05,5.12,12.17,3.32,3.46,2.35,0.83,13.28,2.49,1.11,1.52,1.66,1.11,2.77,1.52,1.24,0.00,1.11,0.00,9.54,0.69,0.14,0.55,1.38,3.18,0.28,0.28,0.97,0.41,0.83,0.41,3.18,1.94,0.55,0.69,1.94,1.38,0.28,0.00,0.41,9.68,1.66,1.11,5.26,1.94,0.28,5.95,8.02,0.55,22.27,7.05,11.89,6.64,0.14,0.69,0.00,1.11,0.28,0.00,6.64,2.63,1.80,1.94,0.41,0.00,17.84,0.00,7.61,0.00,0.55,0.83,1.94,0.00,0.14,6.78,0.00,0.00
