Everybody,Logic,"Okay I was gone for a minute but I'm back now Sit the fuck back down Seem like everybody nowadays Hollywood Oh it’s like that now? I'ma show you mothafuckas how to act now I'ma show em how to act I'ma show em how to act Okay now picture little Bobby just a youngin' runnin' round With his mans, hammer in his hands, feelin' like the man Run, mothafucka, run Before the popo get the gun, put it to your brain like goddamn! Everybody know you ain't about it Everything you talk about I know I can live without it Red light, stop. Green light, go! Everything ain't what it seem like Mothafucka I know! Hold up, what you mean, where you been? Bitch I been in This is merely the beginning again What you been living in? A box, under the bridge, like Anthony Kiedis? Looking for something to complete us And maybe lead us, fuck an elitist Hell of a long way from equal is how they treat us Body of a builder with the mind of a fetus Turn on the television and see the vision they feed us And I wish I could erase that, face facts Everybody people, everybody bleed, everybody need something Everybody love, everybody know, how it go Everybody people, everybody bleed, everybody need something Everybody love, everybody know I been knockin doors down like a Jehovah witness God as my witness, I'm with this But on the real I think I need another witness! If it was 1717, black daddy, white momma wouldn't change a thing Light skin mothafucka certified as a house nigga Well I'll be God damned, go figure In my blood is the slave and the master It's like the devil playin spades with the pastor But he was born with the white privilege! Man what the fuck is that? White people told me as a child, as a little boy, playin with his toys I should be ashamed to be black And some black people look ashamed when I rap Like my great granddaddy didn’t take a whip to the back Not accepted by the black or the white I don't give a fuck, praise God, I could see the light Everybody talkin' 'bout race this, race that I wish I could erase that, face facts Everybody people, everybody bleed, everybody need something Everybody love, everybody know, how it go Everybody people, everybody bleed, everybody need something Everybody love, everybody know Okay I was gone for a minute but I'm back now Sit the fuck back down Seem like everybody nowadays Hollywood Oh it's like that now? I'ma show you mothafuckas how to act now I'ma show em how to act I'ma show em how to act",y
Conscience,Kodak Black,"Yeah, Project Baby These streets took my conscience Glee Sniper Gang These streets took my conscience Yeah, everybody with me on that same thang I don't gang-bang but I bang bang I pull up to the club, I got on eight chains Took that bitch to Wings-N-Things, she wanna be my main Brown liquor made my dawg insane Booted up or geeked, it's the same thang Fish scale or molly, it's the same name Murder by the stains, which gang you claim? The big Patek face cost ten chains Took your bitch out to eat on a private plane Real talk, 150 when it's plain Jane Fucked that slut behind the dumpster for some cocaine Ayy, free my nigga Cool, he in the chain gang Chris Johnson, I swear for God I drop the twenty-eight I told my nigga be smooth , he put a potato on a barrel I kick her dumbass out my crib, say she want Chanel I bought that bitch a lace 'cause she ain't got no hair I sent that poor ass hoe a Uber 'cause she ain't got no whip Thirty golds in my mouth like I'm Stephen Curry Thirty clip in my Glock 'cause I'm a damn Warrior Streets left me scarred, ain't no worries Run my money up in a hurry Thirteen strippers, James Harden Money make you greedy when you starving Monisha, Tamica, they vouching Before I had anything, I was saucing Before I had that Bentley truck, I was saucing All these hitters, yeah, I pray you never cross them She say she brand new, I swear I want the old her Eighteen hunded, I got more stories than a author I'm credit card swipin' at the Chase Bank Me and Future gang gang, same thang I check your temperature, nigga, is you hot or cold? Like a state trooper, I make my money on the road I remember hittin' houses, nigga, cash 4 gold These streets made me lose my conscience, took a nigga soul These streets took all my soul from me Tried to leave me in the cold These streets took my conscience from me Now tough love is all I show I know my niggas got love for me And they filling up they nose I know my Levi got love for me She just want everybody to know I know my niggas, they be missin' me So I be posted on the straw I don't even care about how much cash I see I'm always gon' be in the 'No I ran out of money, then they switch lanes I ran it back up, then I switch lanes In a brand new Range, diamond colored candy cane I bought a brand new K, I can't wait to let it spray I'm sorry mom ain't mean to bring you through so much pain I said I'm sorry mom, I ain't mean for it to be this way Ayy but fuck it, bitch, I'm here, I got diamond rings All the finer things, designer jeans, I'm gettin' paid These streets took my conscience All the finer things, designer jeans, I'm getting paid These streets took my conscience All the finer things, designer jeans, I'm getting paid All the finer things, designer jeans, I'm getting paid All the finer things, designer jeans, I'm getting paid",y
Body Like A Back Road,Sam Hunt,"Got a girl from the south side, got braids in her hair First time I seen her walk by, man I 'bout fell off my chair Had to get her number, it took me like six weeks Now me and her go way back like Cadillac seats Body like a back road, drivin' with my eyes closed I know every curve like the back of my hand Doin' 15 in a 30, I ain't in no hurry I'ma take it slow just as fast as I can The way she fit in them blue jeans, she don't need no belt But I can turn them inside out, I don't need no help Got hips like honey, so thick and so sweet It ain't no curves like hers on them downtown streets Body like a back road, drivin' with my eyes closed I know every curve like the back of my hand Doin' 15 in a 30, I ain't in no hurry I'ma take it slow just as fast as I can We're out here in the boondocks With the breeze and the birds Tangled up in the tall grass With my lips on hers On the highway to heaven Headed south of her smile Get there when we get there Every inch is a mile Body like a back road, drivin' with my eyes closed I know every curve like the back of my hand Doin' 15 in a 30, I ain't in no hurry I'ma take it slow just as fast as I can I'ma take it slow As fast as I can Body like a back road Drivin' with my eyes closed I know every curve like the back of my hand",y
Side To Side,Ariana Grande,"I've been here all night, Ariana I've been here all day, Nicki Minaj And boy, got me walkin' side to side let them hoes know I'm talkin' to ya See you standing over there with your body Feeling like I wanna rock with your body And we don't gotta think 'bout nothin' I'm comin' at ya Cause I know you got a bad reputation Doesn't matter, 'cause you give me temptation And we don't gotta think 'bout nothin' These friends keep talkin' way too much Say I should give you up Can't hear them, no, cause I... I've been here all night I've been here all day And boy, got me walkin' side to side I've been here all night I've been here all day And boy, got me walkin' side to side Been tryna hide it Baby, what's it gonna hurt if they don't know? Makin' everybody think that we solo Just as long as you know you got me And boy I got ya Cause tonight I'm making deals with the devil And I know it's gonna get me in trouble Just as long as you know you got me These friends keep talkin' way too much Say I should give you up Can't hear them, no, cause I... I've been here all night I've been here all day And boy, got me walkin' side to side I've been here all night I've been here all day And boy, got me walkin' side to side This the new style with the fresh type of flow Wrist icicle, ride dick, bicycle Come through yo, get you this type of blow If you wanna Minaj, I got a tricycle All these bitches' flows is my mini-me Body smoking, so they call me Young Nicki Chimney Rappers in they feelings cause they feelin' me Uh, I-I give zero fucks and I got zero chill in me Kissing me, copped the blue box that say Tiffany Curry with the shot, just tell 'em to call me Stephanie Gun pop and I make my gum pop I'm the queen of rap, young Ariana run pop These friends keep talkin' way too much Say I should give him up Can't hear them, no, cause I... I've been here all night I've been here all day And boy, got me walkin' side to side I've been here all night I've been here all day Boy, got me walkin' side to side This the new style with the fresh type of flow Wrist icicle, ride dick bicycle Come through yo, get you this type of blow If you wanna Minaj, I got a tricycle",y
Dirt On My Boots,Jon Pardi,"Been up since the crack of dawn Just trying to get paid Been hotter than a hundred suns I can't find no shade Just two more rows and I'm good to go Yeah, I'm shutting this tractor down Gimme me a half an hour for a shave and a shower And I'll be outside your house Might have a little dirt on my boots But I'm takin' you uptown tonight Might have a little mud on my wheels But they're gonna shine with you up inside Gonna hit the club, gonna cut a rug Burn it up like neon lights Might have a little dirt on my boots But we're gonna dance the dust right off them tonight Got a little dirt on my boots Hard as I worked all day I'm gonna work harder loving on you Spin you all over that dance floor Right out of them high heel shoes And when you're ready to quit Baby, we can slip right out of that barroom door And when I take you home, don't worry babe I'm gonna kick them off on the porch Might have a little dirt on my boots But I'm taking you uptown tonight Might have a little mud on my wheels But they're gonna shine with you up inside Gonna hit the club, gonna cut a rug Burn it up like neon lights Might have a little dirt on my boots But we're gonna dance the dust right off them tonight Got a little dirt on my boots A little dirty dancing, blue collar romancing I can get cleaned up if you ask me But I can only get so fancy Got a little dirt on my boots But I'm taking you uptown tonight Might have a little mud on my wheels But they're gonna shine with you're up inside Gonna hit the club, gonna cut a rug Burn it up like neon lights Might have a little dirt on my boots But we're gonna dance the dust right off them tonight Got a little dirt on my boots Got a little dirt on my boots Got a little dirt on my boots",y
Paris,The Chainsmokers,"We were staying in Paris To get away from your parents And I thought, “Wow If I could take this in a shot right now I don't think that we could work this out” Out on the terrace I don't know if it's fair but I thought “How Could I let you fall by yourself While I'm wasted with someone else?” If we go down then we go down together They'll say you could do anything They'll say that I was clever If we go down then we go down together We'll get away with everything Let's show them we are better Let's show them we are better Let's show them we are better We were staying in Paris To get away from your parents You look so proud Standing there with a frown and a cigarette Posting pictures of yourself on the Internet Out on the terrace We breathe in the air of this small town On our own, cuttin' class for the thrill of it Getting drunk on the past, we were livin' in If we go down then we go down together They'll say you could do anything They'll say that I was clever If we go down then we go down together We'll get away with everything Let's show them we are better Let's show them we are Show them we are Let's show them we are Show them we are Let's show them we are better We were staying in Paris Let's show them we are better Let's show them we are Show them we are Let's show them we are Show them we are Let's show them we are better If we go down then we go down together They'll say you could do anything They'll say that I was clever If we go down then we go down together We'll get away with everything Let's show them we are better We were staying in Paris We were staying in Paris We were staying in Paris We were staying in Paris Let's show them we are better We were staying in Paris Let's show them we are better Let's show them we are better If we go down Let's show them we are better If we go down Let's show them we are better If we go down Let's show them we are better Let's show them we are better",y
First Day Out,Tee Grizzley,"These niggas prayed on my downfall These niggas prayed on my downfall On all ten, bitch I stood tall Show these disloyal niggas how to ball Go get a thermometer for the pot, I need this shit cooked right Lets keep this water 400 degrees Fahrenheit You ever been inside a federal court room? Nigga you ever went to trial and fought for your life? Being broke did something to my spirit Asked niggas to plug me, they act like they couldn't hear me Look at me now, driving German engineering You don't want your baby mama fucked, keep the ho from near me Kilroy, remember I used to use your L's to hit the road Hit the O and make them big boy sales? Moo, remember when you had them green things mailed With vacuum seals trying not to have them green things smelled? Feds was on me, what you know about related through money I don't know nothing, I just used to see 'em walk to the Coney I fuck with bitches my body count go from Pershing to Cody Any further questions, you can take that up with the lawyer My nigga Fenkell, J Money, Brightmo Lo, Project Joe Will tell you everyday before school I sold a half bow How you think I won best dressed with no support? And had them paid lawyers coming in and out of court Aye Dwan though, aye Theo ain't it a blessing? We made it out Kentucky after all that happened? After the pre-trials, after the status After them impact statements, after the castle Aye JR nigga, ain't it a blessing? We made it out of Lansing after all that happened? After Michigan State, after Hubbard When our mans told on us, them bands they took from us Joy road bitch, but the money long as six mile Brick mile, knock your bitch down Pick her up, knock her back down, pull her tracks out Yes I slap girl, yes I slap dog, yes I slap loud Yes I'll slap a pussy nigga if he act out Yes I caught cases on the road with them killers Bro kill me if I snitch, cause if you snitch I'm gon' kill you Spent a lot of time on that yard with them gorillas Stood tall, did I let niggas hoe me? Quit being silly I know for a fact your bitch pussy get wet for a nigga Cause I do it better, plus I'm doing better than niggas I'm at home when I'm down there in Lexington nigga 'Bout the king, they gone drop you and who next to you nigga Unc said Lil T, ""Get ahead of them niggas"" When you take off, don't look back and try to rescue them niggas You killed his mans? Then make sure you get the rest of them niggas Don't let them get the best of you, just get the revenue nigga"" So let me know what you can handle, okay come grab it Here go some extras, so if I'm busy you can manage Fiends had me Blade dancing, eating sixty dollar salads Get it there and back, tell the feds I need a challenge My first offer was 30 years, not a day lower I told them crackers holler at me when they sober On parole, I'm a felon, you think I ain't got that blower? Yeah you right, bro take his head off his fucking shoulders You hear me? Hit the Rollie store with the Rollie on What was our getaway car? A Jag Portfolio You hear me? aye I heard I had some sneak dissers Whoever feeling hot, that AR got a heat sensor Cuz said don't entertain them hungry niggas I wish I would pay attention to these homeless niggas Don't call my phone, I don't want to do no song with niggas And tell yo bitch to tighten up before I bone her, nigga I don't know you niggas, fuck wrong with niggas? Through these white buffs I can see the hoe in niggas Free my nigga Parico, that boy be hoeing niggas Shoot the smile off your face, I don't joke with niggas Boy I can't trust you with that strap if you don't got no bodies Boy I can't take you on no lick if you ain't robbed nobody You ain't no shooter, you can't do that shit without no molly I came home and had the hoes wetter than Kalahari Thirty months ago niggas ain't think that I was coming home Shout out to them niggas' freaks that I been cumming on Get em to the crib, bust em down, now bitch run along This SK'll get to shaking like there's something wrong Thirty bands two times, watch this money clone The feds say my name hot like when the oven on Bitch I came home to my lil brother gone Niggas say they looking for me, pull up in the Skuddy zone Who said I'm a snitch? You just heard a lie from him Better check the black and white, that paperwork will vouch for him Zero toleration for that nigga, take his life from him He don't want that pistol play? Okay I'll Tyson him I ain't hear from bitches when I had them blues on So soon as I'm done fucking, put your shoes on I'm on parole in two states, I can't move wrong The feds trying to build a case, I can't move wrong I went to trial back to back, bitch I'm 2-0 The state of Kentucky banned me from every jewelry store Say I can't even be in public with my hoodie on Michigan State don't want him here, they don't know what he on I know they prayed on my downfall I know they prayed on my downfall On all ten bitch I stood tall Show these disloyal niggas how to ball",y
Get It Together,Drake,"Hello I've been hurt so many times It got to a point When I decided I can't do this anymore I need someone to hold me I need someone that needs me I need someone that loves me You need me to get that shit together So we can get together You need me to get that shit together So we can get together You need me to You need me to You know, we don't have to be dramatic Just romantic Do all the little things, little things, little things That excites me As your woman Give me a kiss goodnight Over the phone When you're working late When you're out of town Tell me how much you need this 'Cause we deserve it We can be together, but You need me to get that shit together So we can get together You need me to get that shit together So we can get together You need me to You need me to You need me to Dun know already, cuz",y
Deja Vu,J. Cole,"Ayy, put a finger in the sky if you want it, nigga Ayy, put two fingers in the sky if you want her Ayy, put a finger in the sky if you want it, nigga Ayy, put two fingers in the sky if you want her Ayy, put a finger in the sky if you want it, nigga Ayy, put two fingers in the sky if you want her Ayy, put a finger in the sky if you want it, nigga Ayy, put two fingers in the sky if you want her Sometimes you worry bout the things he can provide for ya Whenever you around I seem to come alive for ya I finally recognize the feelings that's inside for ya Although I know your man and trust me he would die for ya These quiet thoughts of you been going on for years now I saw you in the party, soft lips, soft spoken I came and talked to you but homie interfered now He introduced you as his girl and I was heartbroken Some people talk about that love at first sight shit To keep it real I don't know whether I believe it's true But if it is then tell me if I'm wrong or right If I fell in love with you before I ever even knew I catch your eye then look away as if it never happened At times I feel as though I'm caught up in a strange dream If eyes could talk then mines would tell ya that I'm feeling you Sometimes I swear your eyes be telling me the same thing She fuck with small town niggas, I got bigger dreams She fuck with small town niggas, I got bigger dreams She fuck with small town niggas, I got bigger dreams She fuck with small town niggas, I got bigger dreams Club jumping, don't stop, off top But you know we only go 'till 2 o'clock Put yo motherfuckin' hood up, it's the weekend Drop that, back that ass up and bitches get to freaking Last call at the bar, ladies get a drink, nigga get some balls Ain't no telling you gonna see that bitch tomorrow Stop holding up the wall waiting for the right song Better holla cause you know they bout to cut the lights on And put my number in it— I'm staring at you from afar, I'm wondering about you Like, where you from and who you are? 'Cause you a star—no, not the type that snort the white lines I mean the type to light the night time, I heard you got a man But who in their right mind letting you out the house alone? Tell me is your house a home? Why you in the club looking like you out your zone? Now be discreet and pull out your phone and put my number in it Text a nigga when your man leave you unattended On a scale from 1 to 10 that girl's a hundred and I want it No question, I know destiny well And though I sin the Lord blessing me still Every saint got a past, every sinner got a future Every loser gotta win and every winner gotta lose someday They say it's just a matter of time And if I had my way then you would be mine She fuck with small town niggas, I got bigger dreams She fuck with small town niggas, I got bigger dreams She fuck with small town niggas, I got bigger dreams She fuck with small town niggas, I got bigger dreams Club jumping, don't stop, off top But you know we only go 'till 2 o'clock Put yo motherfuckin' hood up, it's the weekend Drop that, back that ass up and bitches get to freaking Last call at the bar, ladies get a drink, nigga get some balls Ain't no telling you gonna see that bitch tomorrow Stop holding up the wall waiting for the right song Better holla 'cause you know they bout to cut the lights on I know you were made for me but Darling don't you wait for me 'Cause I can see the promised land But I can't do no promising I know you were made for me but Darling don't you wait for me 'Cause I can see the promised land But I can't do no promising Ayy, put a finger in the sky if you want it, nigga Ayy, put two fingers in the sky if you want her Ayy, put a finger in the sky if you want it, nigga Ayy, put two fingers in the sky if you want her Ayy, put a finger in the sky if you want it, nigga Ayy, put two fingers in the sky if you want her Ayy, put a finger in the sky if you want it, nigga Ayy, put two fingers in the sky if you want her",y
Swang,Rae Sremmurd,"Um, it's nasty Uh, it's nasty Uhmm Know some young niggas like to swang, uhmm Know some young niggas like to swang Know some young niggas like to swang Know some young niggas like to swang Know some young niggas like to swang Big bank take a little bank Everyday spillin' up drank She want the whole crew, shawty brave When the money talks, what is there to say? Blow away, watch it blow away When I die can't take it to the grave Hop out, drop, top, fuck y'all talkin' I need it right now Cash in the air, yeah, what goes up gotta come down Gettin' dough ain't a thing change Coasting, grippin' grain Goin' through the money like a phase Don't say my name in vain I'm so glad that you came All these bad bitches gettin' slain Broke ass nigga get a clue All these niggas know how we do Know some young niggas like to swang Know some young niggas like to swang Big bank take a little bank Everyday spillin' up drank She want the whole crew, shawty brave When the money talks, what is there to say? Blow away, watch it blow away When I die can't take it to the grave Hop out, drop, top, fuck y'all talkin' I need it right now Cash in the air, yeah, what goes up gotta come down I know some young niggas from the bottom They'll do anything for a dollar I coulda went to school to be a doctor But I dropped out and chose to be a baller Switchin' lanes, spittin' game in my new drop Still on a paper chase that don't ever stop Everybody with me family, that's how we rock Party at the mansion, we bout to flood the spot Sremmlife! Know some young niggas like to swang Know some young niggas like to swang Big bank take a little bank Everyday spillin' up drank She want the whole crew, shawty brave When the money talks, what is there to say? Blow away, watch it blow away When I die can't take it to the grave",y
