A Sky Full Of Stars,Coldplay," Cause you're a sky Cause you're a sky full of stars I'm gonna give you my heart Cause you're a sky Cause you're a sky full of stars Cause you light up the path  I don't care Go on and tear me apart I don't care if you do, ooh Cause in a sky Cause in a sky full of stars I think I saw you  Cause you're a sky Cause you're a sky full of stars I want to die in your arms, oh Cause you get lighter The more it gets dark I'm gonna give you my heart, oh  And I don't care Go on and tear me apart And I don't care if you do, ooh Cause in a sky Cause in a sky full of stars I think I see you I think I see you  So sky You're a sky full of stars Such heavenly view You're such a heavenly view ",y
Adventure of a Lifetime,Coldplay,"    Turn your magic on Umi she'd say Everything you want's a dream away And we are legends, every day That's what she told me  Turn your magic on, to me she'd say Everything you want's a dream away Under this pressure, under this weight We are diamonds  Now I feel my heart beating I feel my heart underneath my skin And I feel my heart beating Oh, you make me feel Like I'm alive again Alive again Oh, you make me feel Like I'm alive again  Said I can't go on, not in this way I'm a dream that died by light of day Gonna hold up half the sky and say Only I own me  Now I feel my heart beating I feel my heart underneath my skin Oh, I can feel my heart beating Cause you make me feel Like I'm alive again Alive again Oh, you make me feel Like I'm alive again  Turn your magic on, Umi she'd say Everything you want's a dream away Under this pressure, under this weight We are diamonds taking shape We are diamonds taking shape   If we've only got this life This adventure, oh then I And if we've only got this life You'll get me through And if we've only got this life In this adventure, oh then I Want to share it with you With you, with you Yeah I do       ",y
Atlas,Coldplay," Some saw the sun Some saw the smoke Some heard the gun Some bent the bow Sometimes the wire must tense for the note Caught in the fire, say oh We're about to explode  Carry your world I’ll carry your world Carry your world I’ll carry your world  Some far away Some search for gold Some dragon to slay Heaven we hope is just up the road Show me the way, Lord Cause I, I'm about to explode  Carry your world I’ll carry your world Carry your world I’ll carry your world  Carry your world, and all your hurt ",y
Christmas Lights,Coldplay,"Christmas night, another fight Tears we cried a flood Got all kinds of poison in Poison in my blood I took my feet To Oxford Street Trying to right a wrong Just walk away Those windows say But I can't believe she's gone When you're still waiting for the snow to fall Doesn't really feel like Christmas at all Up above candles on air flicker Oh they flicker and they float But I'm up here holding on To all those chandeliers of hope Like some drunken Elvis singing I go singing out of tune Saying how I always loved you darling And I always will Oh when you're still waiting for the snow to fall Doesn't really feel like Christmas at all Still waiting for the snow to fall It doesn't really feel like Christmas at all Those Christmas lights Light up the street Down where the sea and city meet May all your troubles soon be gone Oh Christmas lights keep shining on Those Christmas lights Light up the street Maybe they'll bring her back to me Then all my troubles will be gone Oh Christmas lights keep shining on Oh Christmas lights Light up the street Light up the fireworks in me May all your troubles soon be gone Oh Christmas lights keep shining on",y
Clocks,Coldplay," The lights go out and I can't be saved Tides that I tried to swim against Have brought me down upon my knees Oh I beg, I beg and plead singing Come out of things unsaid Shoot an apple off my head And a trouble that can't be named A tiger's waiting to be tamed singing  You...are... You...are...  Confusion that never stops Closing walls and ticking clocks Gonna come back and take you home I could not stop that you now know singing Come out upon my seas Cursed missed opportunities Am I a part of the cure? Or am I part of the disease? Singing  You...are... You...are... You...are... You...are... You...are... You...are...  And nothing else compares And nothing else compares And nothing else compares  You...are... You...are...   Home Where I wanted to go  Home Where I wanted to go  Home  Where I wanted to go   Home  Where I wanted to go ",y
Every Teardrop is a Waterfall,Coldplay," I turn the music up, I got my records on I shut the world outside until the lights come on Maybe the streets alight, maybe the trees are gone I feel my heart start beating to my favourite song And all the kids they dance, all the kids all night Until Monday morning feels another life I turn the music up I'm on a roll this time And heaven is in sight  I turn the music up, I got my records on From underneath the rubble sing a rebel song Don't want to see another generation drop I'd rather be a comma than a full stop Maybe I'm in the black, maybe I'm on my knees Maybe I'm in the gap between the two trapezes But my heart is beating and my pulses start Cathedrals in my heart  As we saw oh this light I swear you, emerge blinking into To tell me it's alright As we soar walls, every siren is a symphony  And every tear's a waterfall Is a waterfall Oh Is a waterfall Oh oh oh Is a is a waterfall Every tear Is a waterfall Oh oh oh  So you can hurt, hurt me bad But still I'll raise the flag  Oh It was a wa wa wa wa wa-aterfall A wa wa wa wa wa-aterfall Every tear Every tear Every teardrop is a waterfall Every tear Every tear Every teardrop is a waterfall",y
Fix You,Coldplay, When you try your best but you don't succeed When you get what you want but not what you need When you feel so tired but you can't sleep Stuck in reverse  When the tears come streaming down your face When you lose something you can't replace When you love someone but it goes to waste Could it be worse?  Lights will guide you home And ignite your bones And I will try to fix you  And high up above or down below When you're too in love to let it go But if you never try you'll never know Just what you're worth  Lights will guide you home And ignite your bones And I will try to fix you  Tears stream down your face When you lose something you cannot replace Tears stream down your face And I... Tears stream down your face I promise you I will learn from my mistakes Tears stream down your face And I...  Lights will guide you home And ignite your bones And I will try to fix you,y
Hymn For The Weekend,Coldplay,"  And said drink from me, drink from me  That we shoot across the sky Symphony That we shoot across the sky Pour on a... Drink from me, drink from me  That we shoot across the sky Symphony  That we shoot across the sky  Oh, angel sent from up above You know you make my world light up When I was down, when I was hurt You came to lift me up Life is a drink and love's a drug Oh now I think I must be miles up When I was a river dried up You came to rain a flood  And said drink from me, drink from me When I was so thirsty Pour on a symphony Now I just can't get enough Put your wings on me, wings on me When I was so heavy Soaring on symphony When I'm low, low, low, low  I-Oh-I-Oh Got me feeling drunk and high So high, so high Oh-I-Oh-I-Oh Now I’m feeling drunk and high So high, so high    Oh, angel sent from up above I feel it coursing through my blood Life is a drink and your love's about To make the stars come out  Put your wings on me, wings on me When I was so heavy Soaring on symphony When I'm low, low, low, low  I-Oh-I-Oh Got me feeling drunk and high So high, so high Oh-I-Oh-I-Oh I’m feeling drunk and high So high, so high  I-Oh-I-Oh La, la, la, la, la, la, la So high, so high I-Oh-I-Oh I'm feeling drunk and high So high, so high  That we shoot across the sky That we shoot across the... That we shoot across the sky That we shoot across the... That we shoot across the sky That we shoot across the... That we shoot across the sky That we shoot across the... That we shoot across the sky That we shoot across the...",y
Magic,Coldplay," Call it magic, call it true I call it magic when I'm with you And I just got broken, broken into two Still I call it magic, when I'm next to you  And I don't, And I don't, And I don't, And I don't No I don't, it's true I don't, No, I don't, No, I don't, No, I don't Want anybody else but you  And I don't, And I don't, And I don't, And I don't No I don't, it's true I don't, No, I don't, No, I don't, No, I don't Want anybody else but you  Call it magic, cut me into two And with all your magic, I disappear from view And I can't get over, can't get over you Still, I call it magic, such a precious jewel  And I don't, And I don't, And I don't, And I don't No I don't, it's true I don't, No, I don't, No, I don't, No, I don't Want anybody else but you  And I don't, And I don't, And I don't, And I don't No I don't, it's true I don't, No, I don't, No, I don't, No, I don't Want anybody else but you  Wanna fall, fall so far I wanna fall, fall so hard And I call it magic And I call it true I call it magic  And if you were to ask me After all that we've been through Still believe in magic? Yes, I do Yes, I do Yes, I do Yes, I do Of course I do",y
Major Minus,Coldplay," They got one eye watching you One eye on what you do So be careful who it is you're talking to They got one eye watching you One eye on what you do So be careful what it is you're trying to do And be careful if you're walking into view Just be careful if you're walking into view  Ooh ooh ooh, ooh ooh ooh oooh Got one eye on the road and one on you Ooh ooh ooh, ooh ooh ooh oooh Got one eye on the road and one on  They got one eye watching you One eye on what you do So be careful cause nothing they say is true No don't believe a word It's just us against the world And we just got to turn up to be heard Hear the crocodiles ticking round the world Hear the crocodiles ticking, they go ticking round the world  Ooh ooh ooh, ooh ooh ooh oooh Got one eye on the road and one on you Ooh ooh ooh, ooh ooh ooh oooh Got one eye on the road and one on  You could hear them climbing the stairs Got my right side fighting while my left hides under the chairs  Ooh ooh ooh, ooh ooh ooh oooh Got one eye on the road and one on you Ooh ooh ooh, ooh ooh ooh oooh Got one eye on the road and one on",y
