title,artist,average characters,uniqueness,num long words,I,n't,'m,'s,know,like,got,You,And,'re,get,love,na,nigga,yeah,But,ai,go,back,gon,want,time,bitch,wan,need,make,one,Yeah,way,let,popular
Everybody,Logic,4.78662420382,0.455040871935,0.0,0.0,0.0668789808917,0.0127388535032,0.00955414012739,0.00636942675159,0.0222929936306,0.031847133758,0.0,0.0,0.00955414012739,0.0,0.0031847133758,0.0127388535032,0.0,0.0031847133758,0.0,0.00636942675159,0.00636942675159,0.0127388535032,0.015923566879,0.0,0.0,0.0,0.0,0.0,0.015923566879,0.0,0.0,0.0,0.0031847133758,0.0,1
Conscience,Kodak Black,4.34328358209,0.486899563319,0.0,0.0,0.119402985075,0.0199004975124,0.0298507462687,0.00746268656716,0.00995024875622,0.00248756218905,0.0174129353234,0.0,0.00248756218905,0.0,0.0,0.00746268656716,0.00248756218905,0.0174129353234,0.00248756218905,0.0,0.0124378109453,0.0,0.00248756218905,0.00248756218905,0.00746268656716,0.0,0.00995024875622,0.00248756218905,0.0,0.00497512437811,0.0,0.00497512437811,0.00248756218905,0.00248756218905,1
Body Like A Back Road,Sam Hunt,3.89444444444,0.447236180905,0.0,0.0,0.0833333333333,0.0333333333333,0.0,0.0,0.0222222222222,0.0666666666667,0.00555555555556,0.0,0.0,0.00555555555556,0.0111111111111,0.0,0.0,0.0,0.0,0.00555555555556,0.0222222222222,0.00555555555556,0.05,0.0,0.0,0.00555555555556,0.0,0.0,0.0111111111111,0.0,0.0,0.0,0.0111111111111,0.0,1
Side To Side,Ariana Grande,3.78095238095,0.342541436464,0.0,0.0,0.101587301587,0.0222222222222,0.0126984126984,0.00634920634921,0.0190476190476,0.0031746031746,0.0507936507937,0.0,0.031746031746,0.0,0.00952380952381,0.0,0.015873015873,0.0,0.0,0.0,0.0,0.0,0.0,0.00634920634921,0.0,0.0,0.0031746031746,0.00952380952381,0.0,0.0031746031746,0.0,0.0,0.00952380952381,0.0031746031746,1
Dirt On My Boots,Jon Pardi,4.04048582996,0.380392156863,0.0,0.0,0.0526315789474,0.0080971659919,0.0283400809717,0.0,0.0,0.0121457489879,0.0,0.0,0.0121457489879,0.0323886639676,0.0121457489879,0.0,0.0566801619433,0.0,0.0,0.0404858299595,0.0,0.00404858299595,0.0,0.0445344129555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00404858299595,0.0,0.0,1
Paris,The Chainsmokers,3.95081967213,0.284,0.0,0.0,0.0409836065574,0.00819672131148,0.00409836065574,0.0819672131148,0.00409836065574,0.0,0.0,0.00409836065574,0.00409836065574,0.0,0.0204918032787,0.0,0.0,0.0,0.0,0.0,0.0,0.0614754098361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00409836065574,1
First Day Out,Tee Grizzley,4.23007518797,0.508748317631,0.0,0.0,0.0827067669173,0.0406015037594,0.015037593985,0.00300751879699,0.012030075188,0.00451127819549,0.00451127819549,0.0105263157895,0.00300751879699,0.0,0.00902255639098,0.0,0.0,0.0451127819549,0.0,0.0,0.0105263157895,0.00300751879699,0.00751879699248,0.0015037593985,0.00601503759398,0.00300751879699,0.015037593985,0.0,0.00300751879699,0.00300751879699,0.0,0.0015037593985,0.0,0.00451127819549,1
Get It Together,Drake,4.31818181818,0.460869565217,0.0,0.0,0.0545454545455,0.0181818181818,0.0,0.0,0.0181818181818,0.0,0.00909090909091,0.0909090909091,0.0,0.0181818181818,0.0727272727273,0.00909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00909090909091,0.0,0.0,0.127272727273,0.0,0.0,0.0,0.0,0.0,1
Deja Vu,J. Cole,4.19771863118,0.375,0.0,0.0,0.0722433460076,0.0171102661597,0.00950570342205,0.0114068441065,0.0171102661597,0.00190114068441,0.0247148288973,0.0,0.00570342205323,0.0,0.0114068441065,0.00380228136882,0.00380228136882,0.0361216730038,0.0,0.0114068441065,0.0,0.00380228136882,0.00380228136882,0.00380228136882,0.032319391635,0.00570342205323,0.00760456273764,0.0,0.0,0.0,0.0,0.0,0.00190114068441,0.0,1
Swang,Rae Sremmurd,4.35458167331,0.393835616438,0.0,0.0,0.0358565737052,0.0239043824701,0.00398406374502,0.0119521912351,0.00796812749004,0.0398406374502,0.00796812749004,0.0,0.0,0.0,0.00398406374502,0.0,0.0,0.0478087649402,0.00796812749004,0.00398406374502,0.00398406374502,0.00796812749004,0.0,0.0,0.0119521912351,0.0,0.00398406374502,0.0,0.00796812749004,0.0,0.0,0.0,0.0,0.0,1
