title,artist,average characters,uniqueness,num long words,im,like,na,got,oh,know,dont,love,get,go,baby,let,girl,make,wan,yeah,want,youre,cause,see,one,cant,gon,say,aint,time,never,right,take,way
bad day,daniel powter,4.30939226519,0.441988950276,0.0,0.0,0.00552486187845,0.00552486187845,0.0,0.0,0.0110497237569,0.0220994475138,0.0718232044199,0.0,0.0,0.0276243093923,0.0,0.0,0.0,0.00552486187845,0.0,0.0,0.0,0.0386740331492,0.0,0.00552486187845,0.0220994475138,0.0,0.0,0.0220994475138,0.0,0.0110497237569,0.0,0.0,0.0,0.00552486187845
temperature,sean paul,4.38327526132,0.439024390244,0.0,0.0,0.0,0.01393728223,0.0348432055749,0.0418118466899,0.0383275261324,0.00348432055749,0.01393728223,0.00348432055749,0.0,0.00348432055749,0.0104529616725,0.0,0.0418118466899,0.0104529616725,0.0348432055749,0.0,0.0104529616725,0.0,0.0104529616725,0.00696864111498,0.0,0.00696864111498,0.0,0.00348432055749,0.0,0.0209059233449,0.0,0.0418118466899,0.0,0.0243902439024
promiscuous,nelly furtado featuring timbaland,4.92361111111,0.576388888889,0.0,0.0,0.0347222222222,0.00347222222222,0.00347222222222,0.0208333333333,0.0,0.0277777777778,0.0416666666667,0.0,0.0416666666667,0.0,0.0,0.0173611111111,0.0347222222222,0.0,0.00347222222222,0.0,0.0243055555556,0.0208333333333,0.00694444444444,0.0138888888889,0.00694444444444,0.00347222222222,0.00347222222222,0.00347222222222,0.00347222222222,0.00694444444444,0.0,0.00694444444444,0.00347222222222,0.00694444444444
youre beautiful,james blunt,5.23529411765,0.588235294118,0.0,0.0,0.0117647058824,0.0,0.0,0.0117647058824,0.0,0.0235294117647,0.0352941176471,0.0117647058824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0705882352941,0.0352941176471,0.0235294117647,0.0,0.0,0.0,0.0,0.0,0.0117647058824,0.0352941176471,0.0,0.0,0.0
hips dont lie,shakira featuring wyclef jean,4.88695652174,0.449275362319,0.0,0.0,0.0115942028986,0.031884057971,0.00289855072464,0.00579710144928,0.0,0.0202898550725,0.0289855072464,0.0,0.0,0.0144927536232,0.0231884057971,0.00869565217391,0.00579710144928,0.0144927536232,0.00289855072464,0.0,0.00869565217391,0.0,0.00289855072464,0.0202898550725,0.0,0.00289855072464,0.0,0.00289855072464,0.00289855072464,0.0,0.00869565217391,0.0115942028986,0.0,0.00579710144928
unwritten,natasha bedingfield,5.20814479638,0.289592760181,0.0,0.0,0.00904977375566,0.0,0.0,0.0,0.00452488687783,0.0,0.0,0.0,0.0,0.0,0.0,0.0361990950226,0.0,0.00452488687783,0.0,0.00904977375566,0.0,0.0,0.0,0.0,0.0678733031674,0.00904977375566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crazy,gnarls barkley,5.22826086957,0.652173913043,0.0,0.0,0.0217391304348,0.0326086956522,0.0,0.0,0.0,0.0108695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0326086956522,0.0,0.0108695652174,0.0108695652174,0.0652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0108695652174,0.0,0.0,0.0,0.0
ridin,chamillionaire featuring krayzie bone,4.87796610169,0.435593220339,0.0,0.0,0.0186440677966,0.0118644067797,0.0101694915254,0.0118644067797,0.0,0.00508474576271,0.00169491525424,0.0,0.00847457627119,0.00169491525424,0.00169491525424,0.00169491525424,0.00169491525424,0.0,0.00169491525424,0.0,0.00169491525424,0.0,0.00677966101695,0.0152542372881,0.00169491525424,0.00677966101695,0.00847457627119,0.0,0.0101694915254,0.0,0.0,0.00338983050847,0.0,0.00169491525424
sexyback,justin timberlake featuring timbaland,3.80758017493,0.198250728863,0.0,0.0,0.0145772594752,0.0,0.0,0.00291545189504,0.0,0.00583090379009,0.00583090379009,0.0,0.0728862973761,0.131195335277,0.00583090379009,0.0174927113703,0.0145772594752,0.0174927113703,0.0,0.0116618075802,0.0,0.00291545189504,0.00583090379009,0.0145772594752,0.00583090379009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0145772594752,0.00583090379009
check on it,beyonce featuring slim thug,4.22264150943,0.475471698113,0.0,0.0,0.0377358490566,0.0377358490566,0.00754716981132,0.022641509434,0.0,0.00754716981132,0.0188679245283,0.0,0.011320754717,0.00754716981132,0.0,0.0415094339623,0.00754716981132,0.00754716981132,0.00754716981132,0.0,0.00377358490566,0.0,0.0,0.022641509434,0.011320754717,0.00754716981132,0.0,0.0,0.00377358490566,0.00377358490566,0.0,0.0,0.00754716981132,0.0
be without you,mary j blige,4.20289855072,0.394927536232,0.0,0.0,0.00724637681159,0.0036231884058,0.0289855072464,0.0398550724638,0.0471014492754,0.0253623188406,0.0036231884058,0.018115942029,0.0108695652174,0.0,0.0289855072464,0.00724637681159,0.0,0.0036231884058,0.0289855072464,0.0,0.0,0.0036231884058,0.0144927536232,0.018115942029,0.0108695652174,0.036231884058,0.0,0.0,0.00724637681159,0.0036231884058,0.0,0.00724637681159,0.0036231884058,0.0
grillz,nelly paul wall and ali  gipp,4.24464285714,0.407142857143,0.0,0.0,0.00892857142857,0.0142857142857,0.00714285714286,0.0267857142857,0.0,0.00535714285714,0.0,0.00178571428571,0.00178571428571,0.0,0.00178571428571,0.0196428571429,0.0,0.0107142857143,0.00892857142857,0.0142857142857,0.00714285714286,0.0,0.00178571428571,0.0357142857143,0.00178571428571,0.00178571428571,0.00178571428571,0.00535714285714,0.00178571428571,0.00178571428571,0.0,0.0,0.00178571428571,0.00178571428571
over my head cable car,the fray,5.00621118012,0.521739130435,0.0,0.0,0.0621118012422,0.0,0.0,0.00621118012422,0.00621118012422,0.0434782608696,0.00621118012422,0.0,0.00621118012422,0.00621118012422,0.0,0.0124223602484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00621118012422,0.0,0.0,0.0,0.00621118012422,0.0,0.0,0.0248447204969,0.0,0.0,0.00621118012422
me  u,cassie,3.6943231441,0.279475982533,0.0,0.0,0.0436681222707,0.056768558952,0.0742358078603,0.0,0.00436681222707,0.0262008733624,0.0,0.00436681222707,0.00436681222707,0.0,0.0436681222707,0.00873362445415,0.0,0.0524017467249,0.0262008733624,0.00873362445415,0.00873362445415,0.0131004366812,0.0,0.0174672489083,0.00873362445415,0.0,0.0480349344978,0.0,0.0,0.0,0.0,0.00873362445415,0.0,0.0131004366812
buttons,pussycat dolls featuring snoop dogg,4.59595959596,0.262626262626,0.0,0.0,0.03367003367,0.00673400673401,0.0,0.003367003367,0.0,0.003367003367,0.016835016835,0.003367003367,0.00673400673401,0.0,0.0538720538721,0.0,0.0,0.003367003367,0.0,0.0,0.013468013468,0.003367003367,0.003367003367,0.010101010101,0.0,0.013468013468,0.0,0.003367003367,0.037037037037,0.0,0.0,0.003367003367,0.003367003367,0.0
run it,chris brown featuring juelz santana,4.13609467456,0.440828402367,0.0,0.0,0.0,0.00887573964497,0.0177514792899,0.0295857988166,0.0,0.0266272189349,0.00591715976331,0.0,0.0147928994083,0.00591715976331,0.00295857988166,0.0295857988166,0.0236686390533,0.0207100591716,0.0147928994083,0.00295857988166,0.00591715976331,0.00295857988166,0.00295857988166,0.0236686390533,0.00295857988166,0.00295857988166,0.00295857988166,0.0,0.0207100591716,0.00295857988166,0.0,0.00295857988166,0.0,0.0147928994083
so sick,neyo,4.71666666667,0.455555555556,0.0,0.0,0.0777777777778,0.0,0.0,0.00555555555556,0.0,0.00555555555556,0.00555555555556,0.0611111111111,0.00555555555556,0.00555555555556,0.0,0.00555555555556,0.0,0.0111111111111,0.0,0.0,0.0,0.0,0.0111111111111,0.0,0.0,0.0555555555556,0.0,0.00555555555556,0.0,0.0,0.0,0.00555555555556,0.0,0.00555555555556
its goin down,yung joc featuring nitti,4.45874587459,0.683168316832,0.0,0.0,0.016501650165,0.016501650165,0.003300330033,0.019801980198,0.00660066006601,0.023102310231,0.00660066006601,0.003300330033,0.003300330033,0.00990099009901,0.0,0.00990099009901,0.00990099009901,0.00990099009901,0.0,0.0,0.0,0.0,0.003300330033,0.00990099009901,0.003300330033,0.0,0.003300330033,0.003300330033,0.00660066006601,0.013201320132,0.003300330033,0.00990099009901,0.003300330033,0.0
sos,rihanna,4.43302180685,0.361370716511,0.0,0.0,0.0591900311526,0.00623052959502,0.0,0.0716510903427,0.0218068535826,0.0155763239875,0.00623052959502,0.00311526479751,0.00311526479751,0.0,0.0,0.0,0.0,0.00623052959502,0.0,0.0,0.0,0.00311526479751,0.0218068535826,0.00623052959502,0.00623052959502,0.018691588785,0.0,0.0,0.0,0.018691588785,0.00623052959502,0.00623052959502,0.00934579439252,0.00311526479751
i write sins not tragedies,panic at the disco,5.5974025974,0.37012987013,0.0,0.0,0.00649350649351,0.0,0.0,0.0,0.00649350649351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012987012987,0.0,0.00649350649351,0.0,0.0,0.0,0.0,0.0,0.012987012987
london bridge,fergie,4.27042253521,0.270422535211,0.0,0.0,0.0197183098592,0.0422535211268,0.0366197183099,0.0140845070423,0.0901408450704,0.0112676056338,0.0112676056338,0.0056338028169,0.0112676056338,0.0394366197183,0.0,0.0,0.00845070422535,0.00281690140845,0.0366197183099,0.0,0.0,0.0,0.0112676056338,0.0,0.0,0.0,0.0,0.0,0.0,0.0253521126761,0.0,0.0,0.0,0.0
dani california,red hot chili peppers,5.6369047619,0.672619047619,0.0,0.0,0.0238095238095,0.00595238095238,0.0178571428571,0.0119047619048,0.0,0.0,0.0,0.00595238095238,0.0,0.0,0.0178571428571,0.0,0.0,0.0,0.0,0.0297619047619,0.0,0.0,0.0,0.0,0.00595238095238,0.0,0.0178571428571,0.0178571428571,0.0,0.0,0.0119047619048,0.0,0.00595238095238,0.00595238095238
snap yo fingers,lil jon featuring e40 and sean paul,4.02997275204,0.452316076294,0.0,0.0,0.0326975476839,0.00817438692098,0.0,0.0136239782016,0.0,0.00817438692098,0.00817438692098,0.0,0.00272479564033,0.00544959128065,0.0,0.0544959128065,0.0,0.0,0.0,0.00817438692098,0.0,0.0,0.00272479564033,0.0517711171662,0.00272479564033,0.00817438692098,0.00272479564033,0.0,0.00272479564033,0.00272479564033,0.0,0.0,0.0,0.0
