title,artist,NN,NNP,DT,IN,JJ,NNS,CC,PRP,VB,VBG,I,n't,'m,'s,know,like,got,You,And,'re,love,get,na,yeah,But,ai,back,gon,go,wan,want,need,Yeah,time,let,oh,make,way,right,see,average characters,uniqueness,average words,num long words,popular
Everybody,Logic,68.0,46.0,3.0,21.0,34.0,13.0,5.0,26.0,17.0,2.0,0.0668789808917,0.0127388535032,0.00955414012739,0.00636942675159,0.0222929936306,0.031847133758,0.0,0.0,0.00955414012739,0.0,0.0127388535032,0.0031847133758,0.0,0.0,0.00636942675159,0.00636942675159,0.015923566879,0.0,0.0127388535032,0.0,0.0,0.015923566879,0.0,0.0,0.0,0.0,0.0,0.0031847133758,0.0,0.00636942675159,4.78662420382,0.455040871935,35.3076923077,0.296178343949,y
Conscience,Kodak Black,83.0,51.0,12.0,7.0,37.0,29.0,1.0,50.0,9.0,9.0,0.119402985075,0.0199004975124,0.0298507462687,0.00746268656716,0.00995024875622,0.00248756218905,0.0174129353234,0.0,0.00248756218905,0.0,0.00746268656716,0.0,0.00248756218905,0.00248756218905,0.0,0.0124378109453,0.00248756218905,0.00248756218905,0.0,0.00248756218905,0.00746268656716,0.0,0.00497512437811,0.0,0.00248756218905,0.0,0.00497512437811,0.00248756218905,0.0,0.00248756218905,4.34328358209,0.486899563319,185.666666667,0.258706467662,y
Body Like A Back Road,Sam Hunt,39.0,18.0,5.0,16.0,17.0,15.0,1.0,17.0,7.0,0.0,0.0833333333333,0.0333333333333,0.0,0.0,0.0222222222222,0.0666666666667,0.00555555555556,0.0,0.0,0.00555555555556,0.0,0.0111111111111,0.0,0.0,0.00555555555556,0.0222222222222,0.05,0.0,0.00555555555556,0.0,0.0,0.0111111111111,0.0,0.00555555555556,0.0,0.0,0.0,0.0111111111111,0.0,0.0,3.89444444444,0.447236180905,284.0,0.116666666667,y
Side To Side,Ariana Grande,81.0,38.0,5.0,7.0,40.0,10.0,10.0,32.0,12.0,4.0,0.101587301587,0.0222222222222,0.0126984126984,0.00634920634921,0.0190476190476,0.0031746031746,0.0507936507937,0.0,0.031746031746,0.0,0.0,0.00952380952381,0.015873015873,0.0,0.0,0.0,0.0,0.00634920634921,0.0,0.00952380952381,0.0,0.0,0.0,0.0,0.0031746031746,0.0,0.0031746031746,0.00952380952381,0.0,0.0,3.78095238095,0.342541436464,39.8181818182,0.142857142857,y
Dirt On My Boots,Jon Pardi,40.0,29.0,1.0,7.0,42.0,19.0,13.0,13.0,17.0,11.0,0.0526315789474,0.0080971659919,0.0283400809717,0.0,0.0,0.0121457489879,0.0,0.0,0.0121457489879,0.0323886639676,0.0,0.0121457489879,0.0566801619433,0.0,0.0404858299595,0.0,0.0,0.0445344129555,0.00404858299595,0.0,0.0,0.0,0.00404858299595,0.0,0.0,0.0,0.0,0.0,0.0161943319838,0.0,4.04048582996,0.380392156863,359.0,0.202429149798,y
Paris,The Chainsmokers,38.0,37.0,0.0,14.0,5.0,2.0,1.0,30.0,20.0,8.0,0.0409836065574,0.00819672131148,0.00409836065574,0.0819672131148,0.00409836065574,0.0,0.0,0.00409836065574,0.00409836065574,0.0,0.0,0.0204918032787,0.0,0.0,0.0,0.0,0.0,0.0,0.0614754098361,0.0,0.0,0.0,0.0,0.0,0.00409836065574,0.0,0.0,0.0,0.00409836065574,0.0,3.95081967213,0.284,198.5,0.225409836066,y
First Day Out,Tee Grizzley,127.0,85.0,8.0,20.0,68.0,42.0,4.0,68.0,36.0,17.0,0.0827067669173,0.0406015037594,0.015037593985,0.00300751879699,0.012030075188,0.00451127819549,0.00451127819549,0.0105263157895,0.00300751879699,0.0,0.0,0.00902255639098,0.0,0.0,0.0,0.0105263157895,0.00751879699248,0.0015037593985,0.00300751879699,0.0,0.00601503759398,0.00300751879699,0.0015037593985,0.0015037593985,0.00451127819549,0.0,0.00300751879699,0.0,0.00300751879699,0.00300751879699,4.23007518797,0.508748317631,51.9473684211,0.239097744361,y
Get It Together,Drake,11.0,6.0,0.0,2.0,9.0,5.0,0.0,18.0,10.0,1.0,0.0545454545455,0.0181818181818,0.0,0.0,0.0181818181818,0.0,0.00909090909091,0.0909090909091,0.0,0.0181818181818,0.0,0.0727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.118181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.31818181818,0.460869565217,172.0,0.254545454545,y
Deja Vu,J. Cole,92.0,36.0,5.0,15.0,46.0,36.0,12.0,48.0,26.0,19.0,0.0722433460076,0.0171102661597,0.00950570342205,0.0114068441065,0.0171102661597,0.00190114068441,0.0247148288973,0.0,0.00570342205323,0.0,0.00380228136882,0.0114068441065,0.00380228136882,0.0,0.0114068441065,0.0,0.00380228136882,0.00380228136882,0.00380228136882,0.0,0.032319391635,0.0,0.0,0.00380228136882,0.0,0.0,0.0,0.00190114068441,0.00760456273764,0.00760456273764,4.19771863118,0.375,165.2,0.230038022814,y
Swang,Rae Sremmurd,62.0,34.0,1.0,11.0,33.0,17.0,1.0,13.0,16.0,0.0,0.0358565737052,0.0239043824701,0.00398406374502,0.0119521912351,0.00796812749004,0.0398406374502,0.00796812749004,0.0,0.0,0.0,0.0,0.00398406374502,0.0,0.00796812749004,0.00398406374502,0.00398406374502,0.0,0.0,0.0,0.0,0.0119521912351,0.00796812749004,0.0,0.0,0.0,0.0,0.0,0.0,0.00796812749004,0.0,4.35458167331,0.393835616438,71.2,0.179282868526,y
Can't Stop The Feeling!,Justin Timberlake,88.0,22.0,4.0,1.0,27.0,10.0,8.0,33.0,26.0,22.0,0.089552238806,0.0716417910448,0.0089552238806,0.0119402985075,0.00597014925373,0.0,0.0089552238806,0.0,0.0149253731343,0.00298507462687,0.0,0.0,0.00298507462687,0.0,0.0089552238806,0.0089552238806,0.0,0.0,0.0,0.0,0.0,0.00597014925373,0.0,0.0,0.0,0.0,0.0,0.00597014925373,0.0,0.0119402985075,4.14328358209,0.220297029703,484.0,0.214925373134,y
X,21 Savage & Metro Boomin,96.0,56.0,1.0,5.0,49.0,14.0,4.0,31.0,11.0,0.0,0.0797872340426,0.0239361702128,0.0452127659574,0.0,0.00265957446809,0.00797872340426,0.0186170212766,0.0,0.0106382978723,0.0,0.00797872340426,0.00265957446809,0.00265957446809,0.0,0.0,0.00531914893617,0.00797872340426,0.00797872340426,0.0,0.00265957446809,0.0,0.0,0.0,0.0,0.00531914893617,0.0,0.00531914893617,0.0,0.00265957446809,0.0,4.46276595745,0.348387096774,293.5,0.265957446809,y
Castle On The Hill,Ed Sheeran,44.0,11.0,1.0,0.0,19.0,18.0,11.0,27.0,10.0,9.0,0.095652173913,0.0173913043478,0.0130434782609,0.0260869565217,0.00869565217391,0.0,0.00434782608696,0.0,0.0304347826087,0.0,0.0,0.0,0.0,0.0,0.0173913043478,0.0,0.00869565217391,0.0,0.0130434782609,0.0,0.0,0.0,0.0,0.0,0.0,0.00434782608696,0.0130434782609,0.0260869565217,0.00434782608696,0.0,4.1652173913,0.466666666667,344.0,0.265217391304,y
