title,artist,average characters,uniqueness,num long words,I,And,n't,'s,'m,know,na,get,Oh,go,'re,'ll,oh,gon,So,see,But,You,When,come,love,la,heart,sky,...,say,'ve,It,feel,world,popular
A Sky Full Of Stars,Coldplay,3.47747747748,0.330434782609,0.0,0.0,0.117117117117,0.018018018018,0.036036036036,0.0,0.018018018018,0.0,0.018018018018,0.018018018018,0.0,0.0,0.0720720720721,0.0,0.018018018018,0.018018018018,0.00900900900901,0.018018018018,0.0,0.018018018018,0.0,0.0,0.0,0.0,0.018018018018,0.108108108108,0.0,0.0,0.0,0.0,0.0,0.0,1
Adventure of a Lifetime,Coldplay,3.89375,0.381502890173,0.0,0.0,0.1,0.025,0.00625,0.025,0.03125,0.0,0.00625,0.00625,0.025,0.00625,0.0,0.00625,0.0125,0.0,0.0,0.0,0.0,0.00625,0.0,0.0,0.0,0.0,0.0375,0.00625,0.0,0.025,0.01875,0.0,0.0625,0.0,1
Atlas,Coldplay,4.29850746269,0.577464788732,0.0,0.0,0.0298507462687,0.0,0.0,0.0,0.0149253731343,0.0,0.0,0.0,0.0,0.0,0.0149253731343,0.0,0.0149253731343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0149253731343,0.0,0.0,0.0,0.134328358209,1
Christmas Lights,Coldplay,4.85234899329,0.566666666667,0.0,0.0,0.0402684563758,0.00671140939597,0.0268456375839,0.00671140939597,0.00671140939597,0.0,0.0,0.0,0.0402684563758,0.00671140939597,0.0134228187919,0.00671140939597,0.0,0.0,0.0,0.0,0.0134228187919,0.0,0.00671140939597,0.0,0.0,0.0,0.0,0.0,0.0,0.00671140939597,0.0,0.00671140939597,0.0201342281879,0.0,1
Clocks,Coldplay,4.0223880597,0.496350364964,0.0,0.0,0.0820895522388,0.0298507462687,0.0149253731343,0.00746268656716,0.0,0.00746268656716,0.00746268656716,0.0,0.00746268656716,0.0373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0746268656716,0.0,0.00746268656716,0.0,0.0,0.0,0.0,0.149253731343,0.0,0.0,0.0,0.0,0.0,1
Every Teardrop is a Waterfall,Coldplay,4.29585798817,0.536723163842,0.0,0.0,0.0828402366864,0.0177514792899,0.00591715976331,0.0118343195266,0.0236686390533,0.0,0.0,0.0,0.0236686390533,0.0,0.0,0.00591715976331,0.0295857988166,0.0,0.00591715976331,0.00591715976331,0.0118343195266,0.0,0.0,0.00591715976331,0.0,0.0,0.0177514792899,0.0,0.0,0.0,0.0,0.00591715976331,0.0118343195266,0.00591715976331,1
Fix You,Coldplay,4.21296296296,0.477064220183,0.0,0.0,0.0648148148148,0.0833333333333,0.0277777777778,0.0,0.0,0.00925925925926,0.0,0.00925925925926,0.0,0.0185185185185,0.0185185185185,0.00925925925926,0.0,0.0,0.0,0.0,0.00925925925926,0.0,0.0740740740741,0.00925925925926,0.0185185185185,0.0,0.0,0.0,0.0185185185185,0.0,0.0,0.0,0.00925925925926,0.0,1
Hymn For The Weekend,Coldplay,4.16431924883,0.271966527197,0.0,0.0,0.0610328638498,0.0093896713615,0.00469483568075,0.0093896713615,0.0140845070423,0.00469483568075,0.0,0.00469483568075,0.0140845070423,0.0,0.0,0.0,0.0,0.0,0.0281690140845,0.0,0.0,0.0140845070423,0.0328638497653,0.00469483568075,0.0093896713615,0.0281690140845,0.0,0.0422535211268,0.0281690140845,0.0,0.0,0.0,0.00469483568075,0.00469483568075,1
Magic,Coldplay,2.83253588517,0.151515151515,0.0,0.0,0.253588516746,0.105263157895,0.181818181818,0.0191387559809,0.00956937799043,0.0,0.00956937799043,0.00956937799043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00478468899522,0.0,0.0,0.0,1
Major Minus,Coldplay,3.90196078431,0.31875,0.0,0.0,0.0,0.0130718954248,0.00653594771242,0.00653594771242,0.0,0.0,0.0,0.0,0.0,0.00653594771242,0.0261437908497,0.0,0.0,0.0,0.0196078431373,0.0,0.0,0.00653594771242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00653594771242,0.0,0.00653594771242,0.0,0.0196078431373,1
