American Oxygen,Rihanna," Breathe out, breathe in American oxygen, woah Every breath I breathe Chasin' this American Dream We sweat for a nickel and a dime Turn it into an empire, woah Breathe in this feeling American, American oxygen  American oxygen Breathe in this feeling American, American oxygen  Oh say, can you see - this is the American Dream Young girl, hustlin' on the other side of the ocean You can be anything at all in America, America I say if you can't see Just close your eyes and breathe  Breathe out, breathe in American oxygen, woah Every breath I breathe Chasin' this American Dream We sweat for a nickel and a dime Turn it into an empire, woah Breathe in this feeling American, American oxygen  American oxygen Breathe in, this feeling American, American oxygen American oxygen Breathe in, this feeling American, American oxygen  Oh say, can you see - this is the American Dream Young boy, hustlin', tryna get the wheels in motion But he can be anything at all in America, America I say if you can't see Just close your eyes and breathe  Breathe out, breathe in American oxygen, woah Every breath I breathe Chasin' this American Dream We sweat for a nickel and a dime Turn it into an empire, woah Breathe in this feeling American, American oxygen  This is the new America We are the new America This is the new America We are the new America  Breathe out, breathe in American oxygen, woah Every breath I breathe Chasin' this American Dream We sweat for a nickel and a dime Turn it into an empire, woah Breathe in this feeling American, American oxygen  American oxygen Breathe in, this feeling American, American oxygen American oxygen Breathe in, this feeling American, American oxygen  This is the new America We are the new America This is the new America We are the new America",y
Birthday Cake,Rihanna," Come and put your name on it Put your name on it Come and put your name on it Your name Bet you wanna put your name on it Put your name on it Come and put your name on it Baby-baby, uh  It's not even my birthday But he wanna lick the icing off I know you want it in the worst way Can't wait to blow my candles out  He want that cake-cake-cake-cake-cake Cake-cake-cake-cake-cake Cake-cake-cake-cake-cake  Ooh baby, I like it You so excited Don't try to hide it I'ma make you my bitch Cake-cake-cake-cake-cake Cake-cake-cake-cake-cake Cake-cake-cake-cake-cake  I know you wanna bite this It's so enticing Nothing else like this I'ma make you my bitch  And it's not even my birthday  But it's not even my birthday   Leggo Girl, I wanna fuck you right now Been a long time, I've been missing your body Let me-let me turn the lights down When I-when I go down, it's a private party  Ooh it's not even her birthday But I wanna lick the icing off Give it to her in the worst way Can't wait to blow her candles out  I want that cake-cake-cake-cake-cake Cake-cake-cake-cake-cake Cake-cake-cake-cake-cake  Ooh baby I like it You so excited Don't try to hide it I'ma make you my bitch Cake-cake-cake-cake-cake Cake-cake-cake-cake-cake Cake-cake-cake-cake-cake  Ooh baby I like it You so excited Don't try to hide it I'ma make you my bitch  Doggy want the kitty Give me a heart attack and throw it back Now watch me get it And you knew this but you the shit Damn girl, you pretty Blowing out your candles Let me make a couple wishes  Remember how you did it? Remember how you fit it? If you still wanna kiss it Come-come-come and get it Sweeter than a rice cake Cake worth sipping Kill it, tip it, cake, fill it  If you sexy and you know it And you ain't afraid to show it Put a candle on my ma'fuckin' back Baby, blow it Love the way you do when you do it like that Show up with the stacks Raining racks on my rack Wrap it up, wrap it up Boy, while I take this bow off Talk that talk Yeah I know I'm such a show off Daddy, make a wish Put this cake in your face And it's not even my birthday  Ooh it's not even her birthday But I wanna lick the icing off Give it to her in the worst way Can't wait to blow her candles out  I want that cake-cake-cake-cake-cake Cake-cake-cake-cake-cake Cake-cake-cake-cake-cake  Ooh baby I like it You so excited Don't try to hide it I'ma make you my bitch Cake-cake-cake-cake-cake Cake-cake-cake-cake-cake Cake-cake-cake-cake-cake Cake-cake-cake-cake-cake Cake-cake-cake-cake-cake Cake-cake-cake-cake-cake ",y
Bitch Better Have My Money,Rihanna," Yayo, yayo Mula-la Yayo  Bitch better have my money Y'all should know me well enough Bitch better have my money Please don't call me on my bluff Pay me what you owe me Ballin' bigger than LeBron Bitch, give me your money Who y'all think y'all frontin' on? Like bra, bra, bra  Louis XIII, and it's all on me, nigga, you just bought a shot Kamikaze, if you think that you gon' knock me off the top Shit, your wife in the backseat of my brand new foreign car Don't act like you forgot I call the shots, shots, shots Like bra, bra, bra Pay me what you owe me, don't act like you forgot  Bitch better have my money Bitch better have my money Pay me what you owe me Bitch better have my  Bitch better have my  Bitch better have my money  Turn up to Rihanna while the whole club fuckin' wasted Every time I drop, I am the only thing y'all playin' In a drop top, doin' hundred, y'all in my rearview mirror racin' Where y'all at? Where y'all at? Where y'all at? Like bra, bra, bra  Louis XIII, and it's all on me, nigga, you just bought a shot Kamikaze, if you think that you gon' knock me off the top Shit, your wife in the backseat of my brand new foreign car Don't act like you forgot I call the shots, shots, shots Like bra, bra, bra Pay me what you owe me, don't act like you forgot  Bitch better have my money Bitch better have my money Pay me what you owe me Bitch better have my  Bitch better have my  Bitch better have my money Bitch better have my money Bitch better have my money Pay me what you owe me Bitch better have my  Bitch better have my  Bitch better have my money  Bitch better have my money Bitch better have my money Bitch, bitch, bitch better have my money Yo, that bitch better have my money Hold up My money Yo, my money That bitch better have my money Bitch better have my money ",y
California King Bed,Rihanna,"Chest to chest Nose to nose Palm to palm We were always just that close Wrist to wrist Toe to toe Lips that felt just like the inside of a rose So, how come when I reach out my finger It feels like more than distance between us  In this California king bed We're ten thousand miles apart I've been California wishing on these stars For your heart for me My California king Eye to eye Cheek to cheek Side by side You were sleeping next to me Arm in arm Dusk to dawn With the curtains drawn And a little last night on these sheets So, how come when I reach out my fingers It seems like more than distance between us  In this California king bed We're ten thousand miles apart I've been California wishing on these stars For your heart for me My California king  Just when I felt like giving up on us You turned around and gave me one last touch That made everything feel better And even then my eyes got wetter So confused wanna ask you if you love me But I don't wanna seem so weak Maybe I've been California dreaming  In this California king bed We're ten thousand miles apart I've been California wishing on these stars For your heart for me My California king My California king In this California king bed We're ten thousand miles apart I've been California wishing on these stars For your heart for me My California king",y
Cheers (Drink To That),Rihanna,"  Cheers to the freaking weekend I drink to that, yeah yeah Oh let the Jameson sink in I drink to that, yeah yeah Don’t let the bastards get you down Turn it around with another round There’s a party at the bar everybody put your glasses up and I drink to that, I drink to that, I drink to that   Life’s too short to be sitting around miserable People gonna talk whether you doing bad or good, yeah Got a drink on my mind and my mind on my money, yeah Looking so bomb, gonna find me a honey Got my Ray-Bans on and I’m feeling hella cool tonight, yeah Everybody’s vibing so don’t nobody start a fight, yeah-ah-ah-ah   Cheers to the freaking weekend I drink to that, yeah yeah Oh let the Jameson sink in I drink to that, yeah yeah Don’t let the bastards get you down Turn it around with another round There’s a party at the bar everybody put your glasses up and I drink to that, I drink to that   ‘Bout to hop on the bar, put it all on my card tonight, yeah Might be mad in the morning but you know we goin hard tonight It’s getting Coyote Ugly up in here, no Tyra It’s only up from here, no downward spiral Got my Ray-Bans on and I’m feeling hella cool tonight, yeah Everybody’s vibing so don’t nobody start a fight, yeah   Cheers to the freaking weekend I drink to that, yeah yeah Oh let the Jameson sink in I drink to that, yeah yeah Don’t let the bastards get you down Turn it around with another round There’s a party at the bar everybody put your glasses up and I drink to that, I drink to that  Cheers to the freaking weekend I drink to that, yeah yeah Oh let the Jameson sink in I drink to that, yeah yeah Don’t let the bastards get you down Turn it around with another round There’s a party at the bar everybody put your glasses up and I drink to that, I drink to that   And I drink to that",y
Diamonds,Rihanna," We the cause of all the commotion Your mouth running, but where is you going? What is you smoking, man? That ain't potent What is you talking, man? That ain't important Illuminati, High society We in this party and nobody invited me We going crazy and I always use my best sense But it don't matter cause I stay on my fresh prince Maxin', relaxin, shootin' some pool and Playing some b-ball outside of the school and Girls with they top off outside of the pool and Whips with the drop off outside of the Louvre You just look stupid to be ignoring The Delorean parked in front of Armani emporium And parties at Richie is getting risky Victoria's Secret show, they miss me Voices in my head, I need choices in my bed AHHHHH, get out my fucking head It's just me and my bad bitch So you can say I'm on my Brad Pitt Back to the la familia I'm aligned with Before I betray them I slit my wrists At the top is just us nigga Cause I don't really trust niggas And we made it through the hurricane So celebrate and light the Mary Jane We gon' make it, that's on everything Truest girls get half naked, every spring They saying, ""Hey Kanye We need you to go deeper than Tay Zonday,"" Cause my verses got pain, Chocolate Rain So many lines, you photograph and it make arms break On the radio, man I miss myself I need to just step back and kiss myself Baby, just step up and kiss the belt A little lower.. that's what's up Somebody pour her another cup Is it too much to ask you keep your diamonds up? I swear until my time is up My style is sex in the shower, fresh as fuck  So shine bright tonight you and I We're beautiful like diamonds in the sky Eye to eye so alive We're beautiful like diamonds in the sky  Shine bright like a diamond Shine bright like a diamond Shining bright like a diamond We're beautiful like diamonds in the sky Shine bright like a diamond Shine bright like a diamond Shining bright like a diamond We're beautiful like diamonds in the sky  Palms rise to the universe As we moonshine and molly Feel the warmth we'll never die We're like diamonds in the sky You're a shooting star I see A vision of ecstasy When you hold me I'm alive We're like diamonds in the sky  I knew that we'd become one right away Oh right away At first sight I felt energy of sun rays I saw the life inside your eyes  So shine bright tonight you and I We're beautiful like diamonds in the sky Eye to eye so alive We're beautiful like diamonds in the sky  Shine bright like a diamond Shine bright like a diamond Shining bright like a diamond We're beautiful like diamonds in the sky Shine bright like a diamond Shine bright like a diamond Shining bright like a diamond We're beautiful like diamonds in the sky  Shine bright like a diamond Shine bright like a diamond Shine bright like a diamond So shine bright tonight you and I We're beautiful like diamonds in the sky Eye to eye so alive We're beautiful like diamonds in the sky Shine bright like a diamond",y
Disturbia,Rihanna,"] Bum bum be-dum, bum bum be-dum bum  Bum bum be-dum, bum bum be-dum bum  Bum bum be-dum, bum bum be-dum bum  Bum bum be-dum, bum bum be-dum bum  No more gas, in the red Can't even get it started Nothing heard, nothing said Can't even speak about it All my life on my head Don't want to think about it Feels like I'm going insane, yeah  It's a thief in the night To come and grab you It can creep up inside you And consume you A disease of the mind It can control you It's too close for comfort  Put on your brake lights You're in the city of wonder Ain't gon' play nice Watch out, you might just go under Better think twice Your train of thought will be altered So if you must falter, be wise Your mind's in Disturbia It's like the darkness is the light Disturbia, am I scaring you tonight?  Disturbia Ain't used to what you like Disturbia, disturbia  Bum bum be-dum, bum bum be-dum bum Bum bum be-dum, bum bum be-dum bum Bum bum be-dum, bum bum be-dum bum Bum bum be-dum, bum bum be-dum bum  Faded pictures on the wall It's like they talkin' to me Disconnected, no one calls The phone don't even ring I gotta get out Or figure this shit out It's too close for comfort, oh  It's a thief in the night To come and grab you It can creep up inside you And consume you A disease of the mind It can control you I feel like a monster  Put on your brake lights You're in the city of wonder Ain't gon' play nice Watch out, you might just go under Better think twice Your train of thought will be altered So if you must falter, be wise Your mind's in Disturbia It's like the darkness is the light Disturbia, am I scaring you tonight?  Disturbia Ain't used to what you like Disturbia, disturbia  Bum bum be-dum, bum bum be-dum bum Bum bum be-dum, bum bum be-dum bum Bum bum be-dum, bum bum be-dum bum Bum bum be-dum, bum bum be-dum bum  Release me from this curse I'm in I've been trying to remain tame But I'm struggling If you can't go, oh, oh I think I'm gonna oh, oh, oh  Put on your brake lights You're in the city of wonder Ain't gon' play nice Watch out, you might just go under Better think twice Your train of thought will be altered So if you must falter, be wise Your mind's in Disturbia It's like the darkness is the light Disturbia, am I scaring you tonight?  Disturbia Ain't used to what you like Disturbia, disturbia  Bum bum be-dum, bum bum be-dum bum Bum bum be-dum, bum bum be-dum bum Bum bum be-dum, bum bum be-dum bum Bum bum be-dum, bum bum be-dum bum",y
Don't Stop the Music,Rihanna," Please don't stop the music Please don't stop the music Please don't stop the music Please don't stop the music  It's gettin' late, I'm making my way over to my favorite place I gotta get my body moving, shake the stress away I wasn't looking for nobody when you looked my way Possible candidate, yeah Who knew that you'd be up in here lookin' like you do You're making stayin' over here impossible Baby, I'mma say your aura is incredible If you don't have to go, don't  Do you know what you started? I just came here to party But now we're rockin' on the dance floor, actin' naughty Your hands around my waist Just let the music play We're hand in hand, chest to chest, and now we're face to face  I wanna take you away Let's escape into the music—DJ, let it play I just can't refuse it Like the way you do this Keep on rockin' to it Please don't stop the Please don't stop the music I wanna take you away Let's escape into the music—DJ, let it play I just can't refuse it Like the way you do this Keep on rockin' to it Please don't stop the Please don't stop the Please don't stop the music  Baby, are you ready? ’Cause it's getting close Don't you feel the passion ready to explode? What goes on between us no one has to know This is a private show, oh  Do you know what you started? I just came here to party But now we're rockin' on the dance floor, actin' naughty Your hands around my waist Just let the music play We're hand in hand, chest to chest, and now we're face to face  I wanna take you away Let's escape into the music—DJ, let it play I just can't refuse it Like the way you do this Keep on rockin' to it Please don't stop the Please don't stop the music I wanna take you away Let's escape into the music—DJ, let it play I just can't refuse it Like the way you do this Keep on rockin' to it Please don't stop the Please don't stop the Please don't stop the music  Please don't stop the music Please don't stop the music Please don't stop the music  I wanna take you away Let's escape into the music—DJ, let it play I just can't refuse it Like the way you do this Keep on rockin' to it Please don't stop the Please don't stop the music I wanna take you away Let's escape into the music—DJ, let it play I just can't refuse it Like the way you do this Keep on rockin' to it Please don't stop the Please don't stop the Please don't stop the music  Please don't stop the music Please don't stop the music Please don't stop the music",y
FourFiveSeconds,Rihanna,"   I think I've had enough I might get a little drunk I say what's on my mind I might do a little time Cause all of my kindness Is taken for weakness  Now I'm FourFiveSeconds from wildin' And we got three more days 'til Friday I'm just tryna make it back home by Monday mornin' I swear I wish somebody would dare me Ooh, that's all I want  Woke up an optimist Sun was shinin', I'm positive We can run Then I heard you was talkin' trash I'm on a mystery Hold me back, I'm 'bout to spaz  Yeah, 'bout FourFiveSeconds from wildin' And we got three more days ‘til Friday I’m tryna make it back home by Monday mornin' I swear I wish somebody would try me Ooh, that’s all I want  And I know that you're up tonight Thinkin', ""How could I be so selfish?"" But you called 'bout a thousand times Wondering where I've been Now I know that you're up tonight Thinkin' ""How could I be so reckless?"" But I just can't apologize I hope you can understand  If I go to jail tonight Promise you'll pay my bail See they want to buy my pride But that just ain't up for sale See all of my kindness Is taken for weakness  Now I'm FourFiveSeconds from wildin' And we got three more days 'til Friday I'm just tryna make it back home by Monday mornin' I swear I wish somebody would tell me Ooh, that's all I want FourFiveSeconds from wildin' And we got three more days 'til Friday I'm just tryna make it back home by Monday mornin' I swear I wish somebody would tell me Cause that's all I want",y
Hate That I Love You,Rihanna, That's how much I love you  That's how much I need you  That's how much I love you That's how much I need you And I can't stand you Must everything you do make me wanna smile Can I not like you for awhile?   But you won't let me You upset me girl And then you kiss my lips All of a sudden I forget  Can't remember what you did  But I hate it... You know exactly what to do So that I can't stay mad at you For too long that's wrong  But I hate it... You know exactly how to touch So that I don't want to fuss and fight no more Said I despise that I adore you  And I hate how much I love you boy  I can't stand how much I need you  And I hate how much I love you boy  But I just can't let you go And I hate that I love you so   You completely know the power that you have The only one makes me laugh  Said it's not fair How you take advantage of the fact That I... Love you beyond the reason why And it just ain't right  And I hate how much I love you girl I can't stand how much I need you  And I hate how much I love you girl But I just can't let you go But I hate that I love you so  One of these days maybe your magic won't affect me And your kiss won't make me weak But no one in this world knows me the way you know me So you'll probably always have a spell on me... Yeah Oh oh oh Yeah yeah yeah That's how much I love you  How much I need you  That's how much I need you How much I love you That's how much I love you I need you That's how much I need you I need you  As much as I need you And I hate that I love you so And I hate how much I love you boy I can't stand how much I need you  And I hate how much I love you boy But I just can't let you go  And I hate that I love you so And I hate that I love you so so,y
